region_id,center_node_idx,cell_id
UPMC_c001_v001_r001_reg022,3405,117428
UPMC_c001_v001_r001_reg022,1341,115339
UPMC_c001_v001_r001_reg022,4581,118631
UPMC_c001_v001_r001_reg023,1711,120814
UPMC_c001_v001_r001_reg023,1558,120648
UPMC_c001_v001_r001_reg023,1267,120341
UPMC_c001_v001_r001_reg023,2176,121325
UPMC_c001_v001_r001_reg024,257,122869
UPMC_c001_v001_r001_reg024,4162,127114
UPMC_c001_v001_r001_reg024,500,123132
UPMC_c001_v001_r001_reg024,2643,125410
UPMC_c001_v001_r001_reg024,773,123429
UPMC_c001_v001_r001_reg026,1021,132264
UPMC_c001_v001_r001_reg026,2312,133587
UPMC_c001_v001_r001_reg026,1806,133069
UPMC_c001_v001_r001_reg026,2418,133697
UPMC_c001_v001_r001_reg027,1207,136358
UPMC_c001_v001_r001_reg027,3534,138990
UPMC_c001_v001_r001_reg027,3343,138782
UPMC_c001_v001_r001_reg027,2534,137879
UPMC_c001_v001_r001_reg028,37,139635
UPMC_c001_v001_r001_reg028,1020,140867
UPMC_c001_v001_r001_reg029,447,141475
UPMC_c001_v001_r001_reg029,312,141318
UPMC_c001_v001_r001_reg029,2414,143641
UPMC_c001_v001_r001_reg029,1919,143118
UPMC_c001_v001_r001_reg030,1817,146856
UPMC_c001_v001_r001_reg030,4349,149464
UPMC_c001_v001_r001_reg030,1693,146728
UPMC_c001_v001_r001_reg030,1703,146739
UPMC_c001_v001_r001_reg030,1737,146776
UPMC_c001_v001_r001_reg031,4373,154898
UPMC_c001_v001_r001_reg031,4326,154846
UPMC_c001_v001_r001_reg031,2786,153149
UPMC_c001_v001_r001_reg031,506,150530
UPMC_c001_v001_r001_reg031,3923,154399
UPMC_c001_v001_r001_reg032,1474,156597
UPMC_c001_v001_r001_reg032,5774,160944
UPMC_c001_v001_r001_reg032,1307,156430
UPMC_c001_v001_r001_reg032,3861,159006
UPMC_c001_v001_r001_reg032,546,155662
UPMC_c001_v001_r001_reg032,6248,161422
UPMC_c001_v001_r001_reg032,4723,159882
UPMC_c001_v001_r001_reg032,4548,159703
UPMC_c001_v001_r001_reg033,1355,163930
UPMC_c001_v001_r001_reg033,4001,166603
UPMC_c001_v001_r001_reg033,4967,167580
UPMC_c001_v001_r001_reg033,369,162936
UPMC_c001_v001_r001_reg033,4190,166792
UPMC_c001_v001_r001_reg033,1688,164264
UPMC_c001_v001_r001_reg034,5662,173627
UPMC_c001_v001_r001_reg034,5783,173749
UPMC_c001_v001_r001_reg034,4935,172895
UPMC_c001_v001_r001_reg034,1248,169167
UPMC_c001_v001_r001_reg034,3950,171896
UPMC_c001_v001_r001_reg034,1395,169316
UPMC_c001_v001_r001_reg034,3574,171518
UPMC_c001_v001_r001_reg035,1228,175575
UPMC_c001_v001_r001_reg035,2697,177071
UPMC_c001_v001_r001_reg035,2423,176795
UPMC_c001_v001_r001_reg035,1086,175431
UPMC_c001_v001_r001_reg035,4744,179146
UPMC_c001_v001_r001_reg036,2476,181878
UPMC_c001_v001_r001_reg036,1569,180919
UPMC_c001_v001_r001_reg036,2038,181410
UPMC_c001_v001_r001_reg036,2296,181682
UPMC_c001_v001_r001_reg036,777,180094
