region_id,cell_id,cluster
UPMC_c001_v001_r001_reg001,844,1
UPMC_c001_v001_r001_reg001,3035,1
UPMC_c001_v001_r001_reg001,1012,1
UPMC_c001_v001_r001_reg001,3870,1
UPMC_c001_v001_r001_reg001,3489,1
UPMC_c001_v001_r001_reg001,2185,1
UPMC_c001_v001_r001_reg001,3780,1
UPMC_c001_v001_r001_reg001,1022,1
UPMC_c001_v001_r001_reg001,4238,1
UPMC_c001_v001_r001_reg001,12,1
UPMC_c001_v001_r001_reg001,1689,1
UPMC_c001_v001_r001_reg001,2455,0
UPMC_c001_v001_r001_reg001,3135,1
UPMC_c001_v001_r001_reg001,2056,1
UPMC_c001_v001_r001_reg001,4167,1
UPMC_c001_v001_r001_reg001,1573,1
UPMC_c001_v001_r001_reg001,2693,1
UPMC_c001_v001_r001_reg001,726,1
UPMC_c001_v001_r001_reg001,1236,1
UPMC_c001_v001_r001_reg001,122,1
UPMC_c001_v001_r001_reg001,1262,1
UPMC_c001_v001_r001_reg001,2404,0
UPMC_c001_v001_r001_reg001,2386,0
UPMC_c001_v001_r001_reg001,1129,1
UPMC_c001_v001_r001_reg001,1913,1
UPMC_c001_v001_r001_reg001,3050,1
UPMC_c001_v001_r001_reg001,733,1
UPMC_c001_v001_r001_reg001,3635,1
UPMC_c001_v001_r001_reg001,1739,1
UPMC_c001_v001_r001_reg001,1656,1
UPMC_c001_v001_r001_reg001,3384,1
UPMC_c001_v001_r001_reg001,1799,1
UPMC_c001_v001_r001_reg001,2508,1
UPMC_c001_v001_r001_reg001,58,1
UPMC_c001_v001_r001_reg001,2501,1
UPMC_c001_v001_r001_reg001,2490,1
UPMC_c001_v001_r001_reg001,3843,1
UPMC_c001_v001_r001_reg001,3189,1
UPMC_c001_v001_r001_reg001,433,1
UPMC_c001_v001_r001_reg001,1414,1
UPMC_c001_v001_r001_reg001,3239,1
UPMC_c001_v001_r001_reg001,2633,0
UPMC_c001_v001_r001_reg001,1522,0
UPMC_c001_v001_r001_reg001,168,1
UPMC_c001_v001_r001_reg001,2372,1
UPMC_c001_v001_r001_reg001,3583,1
UPMC_c001_v001_r001_reg001,3031,0
UPMC_c001_v001_r001_reg001,2345,1
UPMC_c001_v001_r001_reg001,3113,1
UPMC_c001_v001_r001_reg001,2831,0
UPMC_c001_v001_r001_reg001,151,1
UPMC_c001_v001_r001_reg001,1230,1
UPMC_c001_v001_r001_reg001,2141,0
UPMC_c001_v001_r001_reg001,2682,1
UPMC_c001_v001_r001_reg001,1516,0
UPMC_c001_v001_r001_reg001,1756,1
UPMC_c001_v001_r001_reg001,734,1
UPMC_c001_v001_r001_reg001,2972,1
UPMC_c001_v001_r001_reg004,17046,0
UPMC_c001_v001_r001_reg004,20013,0
UPMC_c001_v001_r001_reg004,20044,1
UPMC_c001_v001_r001_reg004,17150,0
UPMC_c001_v001_r001_reg004,19750,0
UPMC_c001_v001_r001_reg004,17202,1
UPMC_c001_v001_r001_reg004,19527,0
UPMC_c001_v001_r001_reg004,18990,0
UPMC_c001_v001_r001_reg004,22251,1
UPMC_c001_v001_r001_reg004,17429,0
UPMC_c001_v001_r001_reg004,19926,0
UPMC_c001_v001_r001_reg004,16978,0
UPMC_c001_v001_r001_reg004,16495,1
UPMC_c001_v001_r001_reg004,18281,0
UPMC_c001_v001_r001_reg004,19068,0
UPMC_c001_v001_r001_reg004,20901,0
UPMC_c001_v001_r001_reg004,20474,0
UPMC_c001_v001_r001_reg004,17655,0
UPMC_c001_v001_r001_reg004,18347,0
UPMC_c001_v001_r001_reg004,22284,0
UPMC_c001_v001_r001_reg004,20449,0
UPMC_c001_v001_r001_reg004,20746,0
UPMC_c001_v001_r001_reg004,16348,1
UPMC_c001_v001_r001_reg004,18956,0
UPMC_c001_v001_r001_reg004,21749,0
UPMC_c001_v001_r001_reg004,16665,1
UPMC_c001_v001_r001_reg004,15804,1
UPMC_c001_v001_r001_reg004,17538,0
UPMC_c001_v001_r001_reg004,19673,0
UPMC_c001_v001_r001_reg004,19672,0
UPMC_c001_v001_r001_reg004,16147,1
UPMC_c001_v001_r001_reg004,16846,0
UPMC_c001_v001_r001_reg004,21165,0
UPMC_c001_v001_r001_reg004,18056,0
UPMC_c001_v001_r001_reg004,18020,1
UPMC_c001_v001_r001_reg004,20188,0
UPMC_c001_v001_r001_reg004,16135,1
UPMC_c001_v001_r001_reg004,16737,1
UPMC_c001_v001_r001_reg004,20848,0
UPMC_c001_v001_r001_reg004,17307,0
UPMC_c001_v001_r001_reg004,21349,0
UPMC_c001_v001_r001_reg004,18093,0
UPMC_c001_v001_r001_reg004,17113,0
UPMC_c001_v001_r001_reg004,19878,0
UPMC_c001_v001_r001_reg004,17465,0
UPMC_c001_v001_r001_reg004,22669,0
UPMC_c001_v001_r001_reg004,17103,0
UPMC_c001_v001_r001_reg004,16662,1
UPMC_c001_v001_r001_reg004,20945,0
UPMC_c001_v001_r001_reg004,19975,0
UPMC_c001_v001_r001_reg004,17316,0
UPMC_c001_v001_r001_reg004,18126,0
UPMC_c001_v001_r001_reg004,16907,1
UPMC_c001_v001_r001_reg004,18770,0
UPMC_c001_v001_r001_reg004,16264,1
UPMC_c001_v001_r001_reg004,16496,0
UPMC_c001_v001_r001_reg004,18883,0
UPMC_c001_v001_r001_reg004,17010,0
UPMC_c001_v001_r001_reg004,22619,0
UPMC_c001_v001_r001_reg004,19310,0
UPMC_c001_v001_r001_reg004,21483,0
UPMC_c001_v001_r001_reg004,18621,0
UPMC_c001_v001_r001_reg004,19052,0
UPMC_c001_v001_r001_reg004,17315,0
UPMC_c001_v001_r001_reg004,18340,0
UPMC_c001_v001_r001_reg004,17017,1
UPMC_c001_v001_r001_reg004,18290,0
UPMC_c001_v001_r001_reg004,19439,0
UPMC_c001_v001_r001_reg004,21023,1
UPMC_c001_v001_r001_reg004,17697,0
UPMC_c001_v001_r001_reg004,16330,1
UPMC_c001_v001_r001_reg004,22767,0
UPMC_c001_v001_r001_reg004,17744,0
UPMC_c001_v001_r001_reg004,18397,0
UPMC_c001_v001_r001_reg004,21316,0
UPMC_c001_v001_r001_reg004,16698,1
UPMC_c001_v001_r001_reg004,16175,1
UPMC_c001_v001_r001_reg004,20139,0
UPMC_c001_v001_r001_reg004,21576,1
UPMC_c001_v001_r001_reg004,20765,0
UPMC_c001_v001_r001_reg004,22631,1
UPMC_c001_v001_r001_reg004,17312,1
UPMC_c001_v001_r001_reg004,15819,1
UPMC_c001_v001_r001_reg004,17206,0
UPMC_c001_v001_r001_reg004,20203,0
UPMC_c001_v001_r001_reg004,19941,0
UPMC_c001_v001_r001_reg004,20719,0
UPMC_c001_v001_r001_reg004,20218,0
UPMC_c001_v001_r001_reg004,18733,0
UPMC_c001_v001_r001_reg004,22199,0
UPMC_c001_v001_r001_reg004,19680,0
UPMC_c001_v001_r001_reg004,21768,1
UPMC_c001_v001_r001_reg004,16486,1
UPMC_c001_v001_r001_reg004,18995,0
UPMC_c001_v001_r001_reg004,15887,0
UPMC_c001_v001_r001_reg004,22031,0
UPMC_c001_v001_r001_reg004,19992,0
UPMC_c001_v001_r001_reg004,22428,1
UPMC_c001_v001_r001_reg004,18565,0
UPMC_c001_v001_r001_reg004,22367,0
UPMC_c001_v001_r001_reg004,20295,0
UPMC_c001_v001_r001_reg004,21158,1
UPMC_c001_v001_r001_reg004,15843,1
UPMC_c001_v001_r001_reg004,21035,0
UPMC_c001_v001_r001_reg004,19815,0
UPMC_c001_v001_r001_reg004,16101,0
UPMC_c001_v001_r001_reg004,20500,0
UPMC_c001_v001_r001_reg004,19376,0
UPMC_c001_v001_r001_reg004,17395,1
UPMC_c001_v001_r001_reg004,19693,0
UPMC_c001_v001_r001_reg004,16556,0
UPMC_c001_v001_r001_reg004,21305,1
UPMC_c001_v001_r001_reg004,18262,0
UPMC_c001_v001_r001_reg004,17516,0
UPMC_c001_v001_r001_reg004,20547,0
UPMC_c001_v001_r001_reg004,16093,0
UPMC_c001_v001_r001_reg004,21341,0
UPMC_c001_v001_r001_reg004,16770,1
UPMC_c001_v001_r001_reg004,16089,1
UPMC_c001_v001_r001_reg004,21203,0
UPMC_c001_v001_r001_reg004,16750,0
UPMC_c001_v001_r001_reg004,19789,0
UPMC_c001_v001_r001_reg004,22147,0
UPMC_c001_v001_r001_reg004,16763,0
UPMC_c001_v001_r001_reg004,16802,0
UPMC_c001_v001_r001_reg004,17388,1
UPMC_c001_v001_r001_reg004,16204,0
UPMC_c001_v001_r001_reg004,18822,0
UPMC_c001_v001_r001_reg004,20304,0
UPMC_c001_v001_r001_reg004,21447,0
UPMC_c001_v001_r001_reg004,16919,0
UPMC_c001_v001_r001_reg004,16119,1
UPMC_c001_v001_r001_reg004,18540,0
UPMC_c001_v001_r001_reg004,21600,0
UPMC_c001_v001_r001_reg004,20448,0
UPMC_c001_v001_r001_reg004,18567,0
UPMC_c001_v001_r001_reg004,22538,0
UPMC_c001_v001_r001_reg004,22595,0
UPMC_c001_v001_r001_reg004,17497,0
UPMC_c001_v001_r001_reg004,16363,1
UPMC_c001_v001_r001_reg004,18418,0
UPMC_c001_v001_r001_reg004,17351,0
UPMC_c001_v001_r001_reg004,20870,1
UPMC_c001_v001_r001_reg004,17051,0
UPMC_c001_v001_r001_reg004,21404,1
UPMC_c001_v001_r001_reg004,16875,1
UPMC_c001_v001_r001_reg004,22546,0
UPMC_c001_v001_r001_reg004,16380,0
UPMC_c001_v001_r001_reg004,18435,0
UPMC_c001_v001_r001_reg004,17376,0
UPMC_c001_v001_r001_reg004,16965,1
UPMC_c001_v001_r001_reg004,18369,0
UPMC_c001_v001_r001_reg004,17509,0
UPMC_c001_v001_r001_reg004,16492,0
UPMC_c001_v001_r001_reg004,17059,0
UPMC_c001_v001_r001_reg004,18800,0
UPMC_c001_v001_r001_reg004,18007,0
UPMC_c001_v001_r001_reg004,21452,0
UPMC_c001_v001_r001_reg004,17278,0
UPMC_c001_v001_r001_reg004,21896,1
UPMC_c001_v001_r001_reg004,22451,1
UPMC_c001_v001_r001_reg004,22599,0
UPMC_c001_v001_r001_reg004,20008,0
UPMC_c001_v001_r001_reg004,18190,0
UPMC_c001_v001_r001_reg004,17024,0
UPMC_c001_v001_r001_reg004,19934,0
UPMC_c001_v001_r001_reg004,19609,0
UPMC_c001_v001_r001_reg004,18909,0
UPMC_c001_v001_r001_reg004,17179,1
UPMC_c001_v001_r001_reg004,21291,0
UPMC_c001_v001_r001_reg004,20337,0
UPMC_c001_v001_r001_reg004,16876,0
UPMC_c001_v001_r001_reg004,18577,0
UPMC_c001_v001_r001_reg004,19982,0
UPMC_c001_v001_r001_reg004,21783,0
UPMC_c001_v001_r001_reg004,21956,0
UPMC_c001_v001_r001_reg004,20615,1
UPMC_c001_v001_r001_reg004,16049,1
UPMC_c001_v001_r001_reg004,18025,0
UPMC_c001_v001_r001_reg004,22076,0
UPMC_c001_v001_r001_reg004,21157,0
UPMC_c001_v001_r001_reg004,19919,0
UPMC_c001_v001_r001_reg004,18875,0
UPMC_c001_v001_r001_reg004,20234,0
UPMC_c001_v001_r001_reg004,17552,0
UPMC_c001_v001_r001_reg004,17413,0
UPMC_c001_v001_r001_reg004,15905,0
UPMC_c001_v001_r001_reg004,17537,0
UPMC_c001_v001_r001_reg004,22295,1
UPMC_c001_v001_r001_reg004,17656,1
UPMC_c001_v001_r001_reg004,20950,0
UPMC_c001_v001_r001_reg004,16339,0
UPMC_c001_v001_r001_reg004,22329,0
UPMC_c001_v001_r001_reg004,17745,0
UPMC_c001_v001_r001_reg004,16195,0
UPMC_c001_v001_r001_reg004,20235,0
UPMC_c001_v001_r001_reg004,19694,0
UPMC_c001_v001_r001_reg004,22652,1
UPMC_c001_v001_r001_reg004,20282,0
UPMC_c001_v001_r001_reg004,19822,0
UPMC_c001_v001_r001_reg004,17708,0
UPMC_c001_v001_r001_reg004,20443,0
UPMC_c001_v001_r001_reg004,20807,1
UPMC_c001_v001_r001_reg004,19862,0
UPMC_c001_v001_r001_reg004,19911,0
UPMC_c001_v001_r001_reg004,17621,0
UPMC_c001_v001_r001_reg004,15921,1
UPMC_c001_v001_r001_reg004,18582,0
UPMC_c001_v001_r001_reg004,20351,0
UPMC_c001_v001_r001_reg004,19209,0
UPMC_c001_v001_r001_reg004,16792,0
UPMC_c001_v001_r001_reg004,20089,0
UPMC_c001_v001_r001_reg004,16858,1
UPMC_c001_v001_r001_reg004,22107,1
UPMC_c001_v001_r001_reg004,17643,0
UPMC_c001_v001_r001_reg004,20432,0
UPMC_c001_v001_r001_reg004,19761,0
UPMC_c001_v001_r001_reg004,18910,0
UPMC_c001_v001_r001_reg004,17852,0
UPMC_c001_v001_r001_reg004,15858,0
UPMC_c001_v001_r001_reg004,22056,0
UPMC_c001_v001_r001_reg004,16050,0
UPMC_c001_v001_r001_reg004,22820,0
UPMC_c001_v001_r001_reg004,16148,0
UPMC_c001_v001_r001_reg004,17083,0
UPMC_c001_v001_r001_reg004,19428,0
UPMC_c001_v001_r001_reg004,16882,0
UPMC_c001_v001_r001_reg004,21005,0
UPMC_c001_v001_r001_reg004,21476,1
UPMC_c001_v001_r001_reg004,16392,1
UPMC_c001_v001_r001_reg004,18216,0
UPMC_c001_v001_r001_reg004,18884,0
UPMC_c001_v001_r001_reg004,20789,0
UPMC_c001_v001_r001_reg004,17052,0
UPMC_c001_v001_r001_reg004,17778,0
UPMC_c001_v001_r001_reg004,20593,0
UPMC_c001_v001_r001_reg004,21972,1
UPMC_c001_v001_r001_reg004,15954,1
UPMC_c001_v001_r001_reg004,18534,0
UPMC_c001_v001_r001_reg004,21500,0
UPMC_c001_v001_r001_reg004,16775,0
UPMC_c001_v001_r001_reg004,16473,0
UPMC_c001_v001_r001_reg004,20845,0
UPMC_c001_v001_r001_reg004,19767,0
UPMC_c001_v001_r001_reg004,20876,0
UPMC_c001_v001_r001_reg004,18961,0
UPMC_c001_v001_r001_reg004,17899,0
UPMC_c001_v001_r001_reg004,21708,0
UPMC_c001_v001_r001_reg004,17191,1
UPMC_c001_v001_r001_reg004,16561,1
UPMC_c001_v001_r001_reg004,17233,0
UPMC_c001_v001_r001_reg004,20292,0
UPMC_c001_v001_r001_reg004,22156,0
UPMC_c001_v001_r001_reg004,21210,0
UPMC_c001_v001_r001_reg004,16837,1
UPMC_c001_v001_r001_reg004,22435,0
UPMC_c001_v001_r001_reg004,19300,0
UPMC_c001_v001_r001_reg004,16619,0
UPMC_c001_v001_r001_reg004,17735,0
UPMC_c001_v001_r001_reg004,19603,0
UPMC_c001_v001_r001_reg004,21060,1
UPMC_c001_v001_r001_reg004,21132,0
UPMC_c001_v001_r001_reg004,17482,0
UPMC_c001_v001_r001_reg004,16892,0
