biomarker,mono_method,mono_correlation,mono_p_value,trend_method,trend_trend,trend_statistic,trend_p_value
CD11b,spearman,0.018019161609151325,0.4026801858333362,mann_kendall,increasing,7.270736096348751,3.574918139293004e-13
CD14,spearman,0.01689516989854738,0.4326669453233458,mann_kendall,decreasing,-13.387155163302154,0.0
CD15,spearman,-0.052868582948356065,0.014016648506383941,mann_kendall,decreasing,-11.009733486246056,0.0
CD163,spearman,0.11716251791904253,4.7715247838913524e-08,mann_kendall,increasing,11.650462693223307,0.0
CD20,spearman,0.10795271467663466,4.960837790691398e-07,mann_kendall,decreasing,-2.144782387872537,0.031970250010085355
CD21,spearman,0.16769826276640865,4.3921332526966485e-15,mann_kendall,increasing,9.817719355212327,0.0
CD31,spearman,0.13811917318862676,1.156709107792844e-10,mann_kendall,increasing,5.144817150736304,2.677815027496422e-07
CD34,spearman,0.03212193348928157,0.13568142771294975,mann_kendall,decreasing,-3.149208449498831,0.0016371337379366135
CD3e,spearman,0.015039672783117925,0.4848934391259748,mann_kendall,decreasing,-4.397693308221463,1.0940742824150362e-05
CD4,spearman,0.13218514444783583,7.025941824107862e-10,mann_kendall,decreasing,-4.418111216744314,9.9567185996019e-06
CD45,spearman,0.0717169352970883,0.0008539302342216648,mann_kendall,increasing,3.8400408644947825,0.0001230138324501695
CD45RA,spearman,0.05530246385443145,0.01016662265205168,mann_kendall,decreasing,-2.7103269353856745,0.006721691652546102
CD45RO,spearman,0.07364841670784977,0.000615373450540294,mann_kendall,increasing,15.124086468742966,0.0
CD68,spearman,0.009874579938656947,0.6465442618419344,mann_kendall,decreasing,-8.859420589482417,0.0
CD8,spearman,0.13521498218336359,2.8244427084178987e-10,mann_kendall,increasing,7.344485862844733,2.0650148258027912e-13
CollagenIV,spearman,-0.046094051744724,0.032220854781953405,mann_kendall,no_trend,-1.267348327126937,0.2050307675026315
HLA-DR,spearman,0.003380659392838653,0.8752511892125772,mann_kendall,decreasing,-2.159520401053802,0.03080981633873936
Ki67,spearman,0.043371819052689074,0.0438989461601177,mann_kendall,no_trend,-1.3351490878358703,0.18182755611433943
PanCK,spearman,0.1261111076784899,4.106314893479804e-09,mann_kendall,increasing,9.710756707826238,0.0
Podoplanin,spearman,0.0548857284472271,0.010750268504966584,mann_kendall,decreasing,-8.180964408306695,2.220446049250313e-16
Vimentin,spearman,-0.005962528151553333,0.7818637055489835,mann_kendall,decreasing,-4.981772389278228,6.300451720342437e-07
aSMA,spearman,-0.0325961319111021,0.1299990109363702,mann_kendall,decreasing,-8.451479997180309,0.0
