CELL_ID,X,Y
42586,505,9
42609,574,15
42592,741,8
42587,871,8
42594,1053,11
42583,1120,6
42584,1191,7
42595,1233,9
42574,1287,5
42579,1338,5
42593,1355,9
42580,1374,6
42599,1393,10
42600,1413,11
42588,1454,7
42581,1480,6
42611,1500,15
42605,1549,12
42618,1563,19
42585,1589,6
42596,1614,11
42608,1639,12
42601,1669,12
42612,1709,14
42606,1749,11
42582,1772,4
42589,1799,9
42590,1824,5
42591,1846,7
42602,1883,10
42575,1908,3
42597,1931,9
42576,1949,4
42616,1972,13
42577,2023,5
42607,2046,11
42603,2081,9
42578,2114,4
42617,1250,17
42598,1146,11
42604,1433,12
42615,1215,18
42622,1080,21
42634,1767,28
42610,1159,15
42613,1856,14
42614,1906,15
42620,539,20
42621,2008,21
42619,2070,20
42624,1866,23
42643,1470,31
42628,2110,24
42626,518,25
42641,1927,30
42632,1263,29
42629,2139,24
42630,1103,26
42638,1191,31
42627,1337,24
42623,1645,24
42640,1825,29
42625,2174,24
42631,2089,26
42642,1125,31
42655,1584,39
42636,2057,30
42639,1349,30
42633,1395,29
42650,1507,35
42653,1786,38
42644,1430,32
42635,2031,30
42637,1024,29
42649,1279,37
42645,1604,35
42654,1879,38
42646,1673,36
42670,1732,42
42647,2127,34
42652,1537,37
42656,1059,40
42657,1326,41
42648,1043,36
42658,1696,42
42659,1852,40
42651,1964,36
42666,353,45
42661,1644,43
42660,1030,43
42667,2187,45
42664,1400,45
42663,2149,44
42662,1242,44
42669,1448,46
42674,1990,50
42665,2036,45
42668,373,47
42671,2113,48
42672,437,49
42678,1833,53
42673,1416,51
42675,1549,52
42677,1007,53
42681,1201,57
42680,1925,57
42676,571,53
42703,1151,69
42682,1381,58
42689,1678,60
42694,1348,62
42695,1365,63
42683,1807,58
42684,1073,59
42696,1750,63
42679,2172,54
42686,2139,58
42685,2066,59
42687,1315,60
42688,1532,60
42691,1028,62
42700,495,66
42693,1103,63
42692,1298,61
42697,1459,65
42690,1848,61
42702,2164,64
42699,2211,63
42707,340,70
42701,1409,68
42698,1560,66
42706,2186,67
42710,1777,83
42711,1969,72
42705,2081,71
42713,378,73
42708,460,70
42722,1436,74
42712,1232,73
42704,1727,69
42725,438,78
42709,1208,72
42715,1392,74
42714,758,74
42717,1855,73
42723,515,78
42721,1278,75
42718,1904,74
42719,2119,73
42720,1006,74
42716,1822,73
42724,2144,76
42728,1300,80
42729,1333,81
42726,1509,77
42730,1650,80
42751,1697,86
42727,2206,78
42731,302,82
42740,1927,85
42742,1670,86
42732,577,82
42735,1481,83
42733,2168,81
42737,961,84
42734,1018,84
42736,1584,83
42753,1629,90
42743,1796,85
42754,1978,91
42738,1034,83
42748,1374,88
42739,1557,83
42744,1834,87
42749,1497,88
42741,1599,85
42746,1863,86
42756,1735,92
42745,2188,87
42747,2218,88
42750,1211,89
42758,1891,95
42759,316,96
42757,353,94
42755,994,93
42761,1952,95
42752,2241,91
42773,1231,102
42763,1711,97
42760,1198,97
42762,1435,97
42766,2135,98
42764,2162,97
42767,370,102
42774,1601,103
42769,1847,103
42765,1508,99
42775,403,104
42781,1336,108
42788,1411,109
42772,2105,101
42789,1648,109
42770,1933,102
42776,1866,105
42771,2013,101
42777,2186,105
42768,1171,101
42793,1471,109
42780,2217,107
42778,329,108
42779,526,106
42783,1550,109
42784,1565,107
