CELL_ID,X,Y
66890,452,5
66911,474,9
66891,509,4
66925,524,14
66926,559,14
66927,581,13
66906,610,11
66918,641,11
66920,661,10
66935,687,14
66912,732,8
66896,756,8
66936,805,16
66897,825,7
66887,914,4
66898,1018,7
66913,1101,9
66945,1130,21
66931,1156,18
66914,1178,9
66892,1196,6
66893,1235,4
66894,1269,6
66928,1318,15
66932,1343,16
66923,1362,13
66888,1376,4
66924,1394,13
66899,1413,7
66900,1434,7
66907,1458,8
66915,1500,9
66929,1527,13
66901,1587,8
66908,1607,7
66909,1623,6
66902,1642,6
66921,1736,12
66916,1759,9
66922,1789,11
66895,1827,5
66903,1944,7
66904,2038,7
66910,2112,8
66889,2144,5
66905,2184,6
66917,2322,9
66930,2350,16
66919,363,11
66934,498,17
66937,1218,18
66941,1479,21
66949,1709,22
66933,443,18
66940,1255,20
66946,390,24
66944,1039,23
66938,1649,19
66947,769,23
66955,870,26
66943,915,21
66942,1668,20
66958,424,28
66964,537,31
66952,1440,26
66939,347,20
66957,406,29
66948,939,22
66967,1379,30
66951,1197,23
66960,729,29
66954,840,24
66950,895,24
66973,1889,34
66956,1617,25
66966,1096,32
66962,1580,29
66968,1599,30
66976,1810,37
66953,1494,25
66972,1759,33
66963,2114,26
66959,653,29
66961,981,29
66981,2098,39
66970,488,33
66965,671,30
66971,631,32
66969,706,32
66975,1296,32
66989,790,43
66997,1353,49
66978,814,38
66980,909,40
66974,1183,35
66979,472,37
66986,2003,42
66983,513,38
66977,593,36
66998,1496,47
66993,1417,46
66994,1719,47
66992,1267,45
66987,2130,50
66982,326,39
66984,1633,39
66985,1204,39
67010,1218,52
66991,1249,45
67007,1321,51
67003,1392,50
67009,690,52
67006,2374,49
66995,439,47
66996,548,47
67001,1284,49
66990,1562,44
67002,1606,48
66988,667,44
66999,868,48
67000,1066,49
67004,1435,50
67019,1678,58
67008,333,53
67017,1041,56
67013,469,55
67014,1139,55
67016,721,56
67005,1546,49
67047,2250,69
67024,491,60
67025,1445,60
67015,1580,56
67011,508,55
67023,1372,59
67026,1528,59
67012,1818,55
67020,358,61
67034,1616,64
67027,750,61
67018,1238,61
67036,899,66
67029,1554,61
67030,386,63
67021,1015,59
67022,1297,59
67033,1592,65
67042,1647,69
67035,664,65
67028,845,60
67049,934,74
67050,964,69
