CELL_ID,X,Y
483,1864,281
464,1882,275
466,2497,278
471,138,279
469,1195,277
489,1266,288
482,756,282
486,1577,285
490,1716,287
485,2150,283
480,2465,280
484,273,283
488,925,285
479,2188,280
481,2592,281
487,630,286
494,1182,288
493,672,288
498,2028,291
491,179,287
506,442,297
497,736,293
501,779,295
504,1163,295
499,142,292
492,457,290
496,942,290
495,765,290
502,82,295
503,387,295
509,2417,296
500,1015,293
514,1135,302
515,1605,301
511,1217,300
505,1870,296
513,972,302
517,1767,300
519,2564,301
507,708,297
510,1107,298
516,1651,301
530,1693,304
518,1820,299
508,1842,297
512,107,303
521,2359,304
525,2432,304
532,2542,304
528,612,306
522,1053,304
523,1194,303
524,1801,304
529,1367,307
520,1076,303
536,1517,310
527,2491,304
531,1784,305
534,2374,307
526,2473,304
540,1905,311
548,2598,317
533,2613,304
539,475,311
542,2403,311
547,2529,315
537,92,312
538,144,312
549,696,318
544,1180,313
558,1618,317
541,2143,311
546,1832,315
535,830,310
553,1755,316
543,2581,311
555,544,319
557,1097,318
562,1879,320
550,890,316
545,1259,315
551,1946,316
566,1666,321
554,2623,318
552,2294,316
560,508,320
571,1637,324
563,1991,320
577,1683,332
564,453,323
559,2459,319
556,1075,320
561,1194,321
567,1736,321
576,1567,329
568,1784,324
574,2391,327
565,523,322
570,581,326
569,116,326
572,604,327
582,1324,331
578,2369,329
573,2066,327
583,1600,332
587,2514,334
575,2581,328
588,675,334
580,938,329
586,1545,334
581,2555,329
592,1939,335
579,91,330
594,1153,336
585,1259,333
590,1760,336
593,145,335
596,163,336
598,875,339
591,1826,334
600,184,339
584,796,334
589,1180,335
624,1076,346
615,1715,346
603,1739,341
595,77,338
601,482,339
626,644,351
597,660,339
606,922,341
609,1056,342
613,1092,346
614,1275,345
612,1869,344
607,99,344
621,135,349
611,1199,345
599,1623,341
627,1656,350
605,355,343
608,519,343
602,610,342
616,1953,346
604,2418,340
617,2315,346
620,2379,348
610,937,345
618,2639,346
619,463,348
622,491,351
635,1592,355
628,1774,352
629,1897,354
623,504,350
625,1821,350
636,1003,354
642,1633,360
632,567,355
630,155,355
633,694,355
644,2501,359
645,2561,359
631,175,356
634,753,355
641,985,359
637,1108,356
638,1254,357
640,1674,358
654,1315,363
643,1802,360
639,258,358
649,81,363
646,448,360
660,770,367
648,856,361
653,1190,364
663,1614,370
647,47,362
650,97,363
652,2293,363
657,822,367
678,964,369
669,1012,370
651,194,363
685,596,375
658,882,367
659,1047,366
664,1874,371
656,2089,367
655,119,366
665,2433,370
661,496,369
676,712,375
668,867,372
667,252,370
675,948,375
662,1150,370
670,2219,370
674,2534,372
672,898,372
679,1935,376
688,471,380
673,2005,372
671,662,372
689,1282,382
666,168,371
682,2173,378
681,1106,378
677,426,377
691,838,383
686,1130,380
680,440,377
694,1248,384
701,2492,386
692,132,385
683,183,379
687,71,381
695,85,385
704,977,389
696,2554,386
684,2651,378
690,516,383
693,571,384
709,926,391
697,2589,385
702,153,388
708,628,390
710,1421,390
715,605,394
718,1631,392
707,2229,389
703,905,389
719,2611,393
706,1016,389
712,2058,391
698,409,387
699,496,387
700,1576,387
711,1795,391
722,482,397
705,2000,389
731,117,400
714,526,393
723,761,395
726,991,396
724,304,397
717,1082,393
713,2651,391
720,1702,395
716,645,393
727,2476,398
728,2576,397
732,948,399
721,2032,395
729,1930,398
730,2667,399
725,817,397
738,1137,405
739,2083,404
735,75,403
736,195,405
753,2289,410
734,1885,402
745,528,415
742,1751,411
752,1262,410
737,387,405
740,496,406
743,553,408
733,1310,402
750,410,410
748,914,411
755,964,414
746,1016,407
747,2645,410
744,148,410
764,1119,416
757,1185,412
741,1565,407
762,2541,414
761,53,414
763,2567,415
756,997,413
751,866,412
749,2454,411
772,1364,420
767,1481,417
766,585,418
778,1028,421
758,1244,413
773,1587,421
754,2397,412
770,1776,419
759,1898,413
765,463,418
784,937,425
768,1978,417
774,2094,420
760,2328,414
783,891,424
776,342,421
796,1613,429
769,228,418
779,294,422
786,182,427
781,1164,422
775,2246,420
771,2257,418
780,397,422
777,728,421
782,742,423
789,1195,426
787,424,426
785,1807,424
790,2071,427
791,2196,428
793,907,431
795,1145,429
817,152,437
788,688,427
794,923,430
797,2170,429
800,1002,431
807,879,431
803,956,434
802,850,433
804,1094,433
801,1253,431
808,1274,435
798,2519,430
806,530,435
792,610,429
799,107,431
839,2099,446
818,433,442
813,837,438
811,2624,435
812,485,436
824,667,440
814,1064,438
805,2678,433
816,798,439
810,2323,436
815,125,440
826,1048,443
809,1163,436
827,1175,444
832,771,448
821,2551,443
823,375,444
833,1387,448
820,2132,442
819,743,443
840,864,450
844,988,451
825,1190,443
849,1539,453
828,1837,445
831,647,448
837,1030,452
830,1246,447
822,53,444
836,1014,452
829,609,446
843,2449,450
835,242,449
857,442,459
845,1081,452
834,2343,448
852,1205,458
847,304,454
838,1222,448
848,938,455
841,885,451
851,1142,456
861,1261,461
854,1864,456
842,900,450
850,1702,454
846,457,453
864,801,461
855,140,458
856,407,457
853,1285,456
862,1603,459
870,2537,464
859,469,460
860,496,459
858,59,459
873,1317,464
863,673,461
867,1672,463
865,1052,463
869,2068,464
880,1171,469
872,566,465
875,1766,466
868,1930,463
866,2683,462
882,897,471
885,1065,471
874,31,466
889,873,473
871,174,465
896,634,478
877,1841,468
878,219,468
883,531,471
876,1346,467
881,1953,468
887,2372,472
879,691,469
895,711,474
891,2452,475
890,2163,474
886,2232,472
899,2500,478
884,980,472
905,817,480
913,1289,483
900,597,479
894,157,476
888,308,473
917,1480,485
892,2580,474
904,255,479
908,960,480
898,1984,477
901,2029,477
902,2476,478
915,553,484
906,1026,480
909,1597,481
893,92,476
924,418,488
897,1144,478
926,289,488
912,994,483
907,2611,479
903,2661,478
911,380,484
928,1009,492
918,576,484
916,1073,484
910,1810,480
914,184,482
923,330,491
927,352,489
933,781,492
920,728,487
921,923,488
940,392,495
939,305,496
941,976,497
929,1101,492
934,1122,494
925,1262,490
922,2294,489
919,470,486
931,62,494
944,190,496
946,855,500
938,2020,495
932,268,494
930,1248,492
942,1561,496
935,1802,494
936,2095,493
937,1275,495
953,1379,503
951,474,504
960,876,506
949,2394,498
945,118,498
943,23,497
948,1767,499
957,205,506
954,1604,502
950,224,500
968,435,512
958,681,507
963,1020,509
947,1196,499
961,1142,506
962,1701,506
955,1863,504
952,2191,500
959,840,505
956,1831,505
985,365,519
977,931,515
964,2177,507
965,565,510
972,508,513
986,1314,517
987,1402,517
971,157,514
984,231,519
976,767,516
970,2564,512
966,1167,510
979,1290,515
980,1343,516
967,280,511
981,403,515
978,1272,514
974,11,516
994,1047,521
969,2495,511
991,2643,517
1003,1650,522
993,293,521
988,1593,518
998,346,520
982,697,516
1012,911,527
983,2191,516
990,2036,518
973,2151,514
999,2410,521
992,2657,518
975,186,516
1005,585,525
1011,2444,526
995,1941,519
996,2392,520
997,308,520
989,1711,518
1004,2008,522
1001,206,523
1008,843,524
1010,1234,526
1000,2627,520
1023,258,531
1015,321,529
1013,951,527
1002,1219,523
1007,1908,524
1014,92,529
1006,967,525
1017,1164,528
1020,1774,531
1037,1536,536
1009,1188,526
1018,2237,528
1034,2518,533
1016,389,529
1027,806,532
1028,861,534
1022,2091,529
1026,500,533
1024,1678,532
1042,2103,535
1045,2269,537
1046,2330,537
1033,2379,533
1048,641,539
1025,1722,530
1036,894,535
1029,1117,532
1032,2071,535
1030,1820,534
1021,1866,530
1019,694,531
1041,1278,537
1038,1566,536
1031,1837,533
