ACQUISITION_ID,CELL_ID,CD11b,CD14,CD15,CD163,CD20,CD21,CD31,CD34,CD3e,CD4,CD45,CD45RA,CD45RO,CD68,CD8,CollagenIV,HLA-DR,Ki67,PanCK,Podoplanin,Vimentin,aSMA
UPMC_c001_v001_r001_reg009,48071,4.81053122054239,1.60392474351496,2.29292944463277,4.25982090491071,3.7571367021762,3.45550593103853,2.68098828488723,1.88770199386042,2.06545914440385,2.52674498666981,1.51269799433493,2.8452944132711,3.52822404360858,1.87145956183088,6.50942954158374,1.61321971896827,6.6429759767271,20.3771873728021,13.8644025323288,8.05166501900869,1.48534580552156,2.35735466337729
UPMC_c001_v001_r001_reg009,48072,10.2388956289139,1.45561073674194,13.6287693789719,4.52798055455664,2.0261865387532,1.78614783698891,1.93387591413536,1.50636682683163,1.57135038955345,2.19859266618197,2.10697986778784,2.61946652522895,3.28157641289245,1.82251703137064,3.70469029059942,2.3251102455732,10.8725458202062,4.97209023184322,12.1811023832503,12.5492982918206,1.23873665290021,1.4521097748982
UPMC_c001_v001_r001_reg009,48073,4.14061261464966,2.22629188231432,1.27162125153292,6.88514178100881,1.69490937418947,3.5811422954229,3.52397464478044,1.93241115030796,2.63815651316676,2.32903738132603,2.85217642467918,5.77222625089335,2.52343862136191,1.44628846115105,1.64899443054237,7.33242015180379,1.52897611652072,3.47456178687904,27.72681606407,7.75336934915141,5.57396991788155,2.14346353636642
UPMC_c001_v001_r001_reg009,48074,1.52107463526094,1.44470575010765,1.54941071483932,8.18447552706301,3.9892526788696,3.44559939059757,3.83562225324331,1.75735941258816,1.7576164814176,2.39205040509121,1.9522509901158,2.4290062451546,1.07043589380847,1.46239247230855,2.81218016993819,1.58192546908672,1.6872836723708,22.037550654638,25.2304342663846,7.73167231676701,0.756297388267627,1.37140321208122
UPMC_c001_v001_r001_reg009,48075,2.13863108249145,2.11197601885729,1.89228717030724,17.5087098547967,1.68248842057593,2.56841503086108,4.93856844710539,1.82554839646862,2.83430057964869,3.08993061404911,2.44428861934462,3.0370537315585,1.75527870343771,1.57321893832292,2.63711763318923,1.96072366760082,1.8632824234427,2.05421567154842,30.3729185552637,8.0569057417711,1.38130720566643,2.27283349369237
UPMC_c001_v001_r001_reg009,48076,3.31878975262539,17.2846771083128,1.36425743763326,1.88995816636018,0.853846914491642,1.85783400792178,2.33098811736137,1.76891262614055,1.53423865906122,3.81586200179245,5.07291847290591,2.785951804475,7.56001772042615,2.64196260065113,2.7558872441873,2.62691249223289,13.4704196691588,1.72548857332232,1.28086072299256,9.21451639626618,12.4471915877078,2.39850792397329
UPMC_c001_v001_r001_reg009,48077,3.7166626029734,6.65263426270705,10.4787996800167,1.2846189169389,1.27106374617268,1.80603957443456,1.38902808479828,1.10317375479506,7.74294719082647,6.41954646146842,8.55315036386289,2.49325425081238,13.7981065859778,1.13885464209037,13.470024837736,1.10482349602083,2.01546854610199,1.21047709103762,1.31759552908557,4.68448862704062,6.85142938994393,1.49781236515848
UPMC_c001_v001_r001_reg009,48078,2.49017643278218,1.28482311318686,2.20348446151074,7.45425274397504,3.55319955187218,3.18052861527854,3.04983951272576,1.9319823418627,2.45037185938357,2.39430620458761,1.29559999749941,3.38171562853137,2.95606799891021,1.66907958325374,4.094704522548,2.17458865134546,3.20064017952893,20.259128392307,19.4046913078199,7.68751220169742,1.59857376184243,2.28473293755096
UPMC_c001_v001_r001_reg009,48079,1.42651267932983,1.86704700620959,1.52069632551939,7.82030803957295,2.14966223277682,2.77532387746414,4.57951309454844,1.75050240306251,1.80894400766283,3.3928609960353,2.13656297119325,2.1297936239017,1.15763266778433,1.80751866708059,2.62193725784786,1.61508130233317,1.76889275800552,19.102878364818,23.5839419999743,12.6777128483922,0.896635880777058,1.41004099571018
UPMC_c001_v001_r001_reg009,48080,1.882342491035,13.5223346660987,1.51318038963704,1.54150755391147,1.63202157636336,1.7459367420677,7.10373124779153,2.63056325747967,2.21755530587653,5.67345790495936,6.6843896382663,2.43667409479101,10.7489702514332,5.6329262911402,2.01884789331726,2.20436576778818,2.71979440969626,1.36909511396683,1.33175646425328,9.39728209618646,14.3913487481482,1.60191809579234
UPMC_c001_v001_r001_reg009,48081,2.58308416653809,1.47264327977323,1.58606976344476,4.1152111855719,3.68589750188889,3.68772750258256,2.35220788227628,2.57240411462564,2.06472789463598,2.52637796159241,1.19080689444894,3.16877612497238,2.8422164270266,2.75884558914271,5.83328853009086,2.16048046040567,4.73575904052857,26.7461242920416,13.9143846386567,5.95602852003069,1.70668519873067,2.34025303099489
UPMC_c001_v001_r001_reg009,48082,3.50470725990639,1.73660524281292,1.69569943504234,5.64758039871856,3.27236941341515,3.12783303420173,2.21489502935949,1.76499160715794,2.14125174466396,2.07702128540422,1.74665347922732,2.35698115137793,3.11131640726618,3.53929205091081,3.67000221820547,1.92240367406949,19.7926605831907,11.64020541551,17.1002121454306,5.04006630618217,0.787831374056889,2.1094207438898
UPMC_c001_v001_r001_reg009,48083,3.54064748228381,1.38648519632275,2.92827266290435,4.11589735144607,8.41436564045321,3.49829062041488,2.49019178020072,1.93470754603631,1.7521053880429,2.00646020336795,1.48694064748472,3.14387230301759,2.63873261948067,2.50355131128092,3.88278261683652,1.67330802516309,6.42514510430266,25.7329514537386,14.5031020244491,2.99371040366119,1.40707936644141,1.54140025267056
UPMC_c001_v001_r001_reg009,48084,3.4358340754043,3.76465785917703,2.06815298662288,4.32843728969359,2.3262077127067,3.11176132999578,3.38399277188993,2.15674482771333,2.10802456810878,2.23206899758854,8.19133146168329,3.63123674346724,4.23579516887522,3.57650722588792,3.58311466464018,2.28554044521368,9.79989032527332,3.27377961252806,16.8007713758516,6.0563445623388,7.39919692564956,2.2506090696903
UPMC_c001_v001_r001_reg009,48085,2.78053295640238,8.95137118369676,2.18583544332456,4.40502267313646,1.96887116441217,2.11260386995113,2.86230961564405,1.98734137841864,1.98758129006705,3.58136930701946,4.95866623525043,2.77672897530504,5.14416873309704,4.02815189943539,2.82807722191446,2.29612895339472,10.9472694689532,3.22531620440346,15.2048862917793,4.74248354651779,9.02902817729428,1.99625541058218
