gene,mean,std,nonzero_cells,nonzero_fraction
CDH1,0.02268195259879367,0.20192778897575508,2671,0.016489791886602583
EPCAM,0.012551009698788114,0.15063569639610838,1496,0.009235765130047723
DSP,0.069792997857747,0.3672791427776891,7687,0.04745676908735083
ACTA2,0.020058155686848295,0.1996705355303057,2248,0.013878342254242833
CDH2,0.00014199371523469093,0.015516178321498087,18,0.00011112551627062768
VIM,0.06332302335487934,0.34763782809532284,6980,0.043092005753832284
FN1,0.08107841139900851,0.4087296299240721,8854,0.05466140672556319
ZEB2,0.005414282098296693,0.09927075529909658,622,0.0038400039511294675
ZEB1,0.0030868198964063244,0.07708346322784505,336,0.00207434297038505
SNAI1,0.0008828304903722087,0.04089348351727322,100,0.0006173639792812648
TWIST1,0.0004321547854968854,0.025817946081459275,55,0.00033955018860469565
SNAI2,0.0015187153890319116,0.05150105449868533,178,0.0010989078831206514
