region_id,center_node_idx,cell_id,cell_type
UPMC_c001_v001_r001_reg001,3871,3931,9
UPMC_c001_v001_r001_reg001,932,969,9
UPMC_c001_v001_r001_reg001,2894,2952,9
UPMC_c001_v001_r001_reg001,2705,2763,9
UPMC_c001_v001_r001_reg001,302,309,11
UPMC_c001_v001_r001_reg001,1240,1289,9
UPMC_c001_v001_r001_reg001,3071,3129,9
UPMC_c001_v001_r001_reg001,4092,4152,11
UPMC_c001_v001_r001_reg001,2671,2729,10
UPMC_c001_v001_r001_reg001,1219,1268,9
UPMC_c001_v001_r001_reg001,2456,2514,9
UPMC_c001_v001_r001_reg001,2776,2834,9
UPMC_c001_v001_r001_reg001,808,839,9
UPMC_c001_v001_r001_reg001,813,844,11
UPMC_c001_v001_r001_reg001,2977,3035,11
UPMC_c001_v001_r001_reg001,974,1012,11
UPMC_c001_v001_r001_reg001,3811,3870,9
UPMC_c001_v001_r001_reg001,3430,3489,11
UPMC_c001_v001_r001_reg001,2128,2185,9
UPMC_c001_v001_r001_reg001,3721,3780,9
UPMC_c001_v001_r001_reg001,984,1022,9
UPMC_c001_v001_r001_reg001,4178,4238,9
UPMC_c001_v001_r001_reg001,11,12,11
UPMC_c001_v001_r001_reg001,1634,1689,11
UPMC_c001_v001_r001_reg001,2397,2455,9
UPMC_c001_v001_r001_reg001,3077,3135,11
UPMC_c001_v001_r001_reg001,2000,2056,10
UPMC_c001_v001_r001_reg001,4107,4167,11
UPMC_c001_v001_r001_reg001,1520,1573,9
UPMC_c001_v001_r001_reg001,2635,2693,9
UPMC_c001_v001_r001_reg001,701,726,11
UPMC_c001_v001_r001_reg001,1189,1236,11
UPMC_c001_v001_r001_reg001,120,122,11
UPMC_c001_v001_r001_reg001,1213,1262,9
UPMC_c001_v001_r001_reg001,2346,2404,9
UPMC_c001_v001_r001_reg001,2328,2386,11
UPMC_c001_v001_r001_reg001,1087,1129,9
UPMC_c001_v001_r001_reg001,1857,1913,9
UPMC_c001_v001_r001_reg001,2992,3050,10
UPMC_c001_v001_r001_reg001,708,733,9
UPMC_c001_v001_r001_reg001,3576,3635,9
UPMC_c001_v001_r001_reg001,1684,1739,9
UPMC_c001_v001_r001_reg001,1601,1656,9
UPMC_c001_v001_r001_reg001,3326,3384,9
UPMC_c001_v001_r001_reg001,1744,1799,11
UPMC_c001_v001_r001_reg001,2450,2508,9
UPMC_c001_v001_r001_reg001,57,58,11
UPMC_c001_v001_r001_reg001,2443,2501,9
UPMC_c001_v001_r001_reg001,2432,2490,9
UPMC_c001_v001_r001_reg001,3784,3843,9
UPMC_c001_v001_r001_reg001,3131,3189,11
UPMC_c001_v001_r001_reg001,418,433,11
UPMC_c001_v001_r001_reg001,1363,1414,11
UPMC_c001_v001_r001_reg001,3181,3239,11
UPMC_c001_v001_r001_reg001,2575,2633,9
UPMC_c001_v001_r001_reg001,1470,1522,9
UPMC_c001_v001_r001_reg001,166,168,11
UPMC_c001_v001_r001_reg001,2314,2372,9
UPMC_c001_v001_r001_reg001,3524,3583,9
UPMC_c001_v001_r001_reg001,2973,3031,9
UPMC_c001_v001_r001_reg001,2287,2345,9
UPMC_c001_v001_r001_reg001,3055,3113,9
UPMC_c001_v001_r001_reg001,2773,2831,9
UPMC_c001_v001_r001_reg001,149,151,9
UPMC_c001_v001_r001_reg001,1184,1230,9
UPMC_c001_v001_r001_reg001,2085,2141,9
UPMC_c001_v001_r001_reg001,2624,2682,10
UPMC_c001_v001_r001_reg001,1464,1516,9
UPMC_c001_v001_r001_reg001,1701,1756,10
UPMC_c001_v001_r001_reg001,709,734,9
UPMC_c001_v001_r001_reg001,2914,2972,9
UPMC_c001_v001_r001_reg004,1265,17046,9
UPMC_c001_v001_r001_reg004,4218,20013,9
UPMC_c001_v001_r001_reg004,4249,20044,9
UPMC_c001_v001_r001_reg004,1367,17150,9
UPMC_c001_v001_r001_reg004,3955,19750,9
UPMC_c001_v001_r001_reg004,1419,17202,10
UPMC_c001_v001_r001_reg004,3733,19527,9
UPMC_c001_v001_r001_reg004,3198,18990,9
UPMC_c001_v001_r001_reg004,6447,22251,11
UPMC_c001_v001_r001_reg004,1645,17429,9
UPMC_c001_v001_r001_reg004,4131,19926,9
UPMC_c001_v001_r001_reg004,1198,16978,9
UPMC_c001_v001_r001_reg004,722,16495,9
UPMC_c001_v001_r001_reg004,2493,18281,9
UPMC_c001_v001_r001_reg004,3276,19068,9
UPMC_c001_v001_r001_reg004,5101,20901,9
UPMC_c001_v001_r001_reg004,4674,20474,9
UPMC_c001_v001_r001_reg004,1869,17655,9
UPMC_c001_v001_r001_reg004,2559,18347,9
UPMC_c001_v001_r001_reg004,6480,22284,11
UPMC_c001_v001_r001_reg004,4649,20449,9
UPMC_c001_v001_r001_reg004,4946,20746,9
UPMC_c001_v001_r001_reg004,578,16348,10
UPMC_c001_v001_r001_reg004,3165,18956,9
UPMC_c001_v001_r001_reg004,5946,21749,9
UPMC_c001_v001_r001_reg004,892,16665,10
UPMC_c001_v001_r001_reg004,36,15804,10
UPMC_c001_v001_r001_reg004,1753,17538,9
UPMC_c001_v001_r001_reg004,3878,19673,9
UPMC_c001_v001_r001_reg004,3877,19672,9
UPMC_c001_v001_r001_reg004,377,16147,9
UPMC_c001_v001_r001_reg004,1069,16846,10
UPMC_c001_v001_r001_reg004,5364,21165,9
UPMC_c001_v001_r001_reg004,2268,18056,9
UPMC_c001_v001_r001_reg004,2233,18020,9
UPMC_c001_v001_r001_reg004,4389,20188,9
UPMC_c001_v001_r001_reg004,365,16135,10
UPMC_c001_v001_r001_reg004,962,16737,10
UPMC_c001_v001_r001_reg004,5048,20848,11
UPMC_c001_v001_r001_reg004,1523,17307,9
UPMC_c001_v001_r001_reg004,5548,21349,9
UPMC_c001_v001_r001_reg004,2305,18093,9
UPMC_c001_v001_r001_reg004,1330,17113,9
UPMC_c001_v001_r001_reg004,4083,19878,9
UPMC_c001_v001_r001_reg004,1680,17465,9
UPMC_c001_v001_r001_reg004,6862,22669,9
UPMC_c001_v001_r001_reg004,1320,17103,9
UPMC_c001_v001_r001_reg004,889,16662,11
UPMC_c001_v001_r001_reg004,5144,20945,9
UPMC_c001_v001_r001_reg004,4180,19975,9
UPMC_c001_v001_r001_reg004,1532,17316,10
UPMC_c001_v001_r001_reg004,2338,18126,9
UPMC_c001_v001_r001_reg004,1130,16907,9
UPMC_c001_v001_r001_reg004,2981,18770,9
UPMC_c001_v001_r001_reg004,494,16264,10
UPMC_c001_v001_r001_reg004,723,16496,9
UPMC_c001_v001_r001_reg004,3093,18883,9
UPMC_c001_v001_r001_reg004,1230,17010,9
UPMC_c001_v001_r001_reg004,6813,22619,9
UPMC_c001_v001_r001_reg004,3516,19310,9
UPMC_c001_v001_r001_reg004,5681,21483,9
UPMC_c001_v001_r001_reg004,2832,18621,9
UPMC_c001_v001_r001_reg004,3260,19052,9
UPMC_c001_v001_r001_reg004,1531,17315,9
UPMC_c001_v001_r001_reg004,2552,18340,9
UPMC_c001_v001_r001_reg004,1236,17017,9
UPMC_c001_v001_r001_reg004,2502,18290,11
UPMC_c001_v001_r001_reg004,3645,19439,9
UPMC_c001_v001_r001_reg004,5222,21023,11
UPMC_c001_v001_r001_reg004,1911,17697,9
UPMC_c001_v001_r001_reg004,560,16330,9
UPMC_c001_v001_r001_reg004,6960,22767,9
UPMC_c001_v001_r001_reg004,1958,17744,9
UPMC_c001_v001_r001_reg004,2609,18397,9
UPMC_c001_v001_r001_reg004,5515,21316,9
UPMC_c001_v001_r001_reg004,924,16698,10
UPMC_c001_v001_r001_reg004,405,16175,9
UPMC_c001_v001_r001_reg004,4343,20139,9
UPMC_c001_v001_r001_reg004,5773,21576,11
UPMC_c001_v001_r001_reg004,4965,20765,9
UPMC_c001_v001_r001_reg004,6825,22631,11
UPMC_c001_v001_r001_reg004,1528,17312,10
UPMC_c001_v001_r001_reg004,51,15819,10
UPMC_c001_v001_r001_reg004,1423,17206,9
UPMC_c001_v001_r001_reg004,4404,20203,9
UPMC_c001_v001_r001_reg004,4146,19941,9
UPMC_c001_v001_r001_reg004,4919,20719,9
UPMC_c001_v001_r001_reg004,4419,20218,9
UPMC_c001_v001_r001_reg004,2944,18733,9
UPMC_c001_v001_r001_reg004,6395,22199,11
UPMC_c001_v001_r001_reg004,3885,19680,9
UPMC_c001_v001_r001_reg004,5965,21768,9
UPMC_c001_v001_r001_reg004,713,16486,10
UPMC_c001_v001_r001_reg004,3203,18995,9
UPMC_c001_v001_r001_reg004,119,15887,9
UPMC_c001_v001_r001_reg004,6228,22031,9
UPMC_c001_v001_r001_reg004,4197,19992,9
UPMC_c001_v001_r001_reg004,6624,22428,11
UPMC_c001_v001_r001_reg004,2776,18565,11
UPMC_c001_v001_r001_reg004,6563,22367,9
UPMC_c001_v001_r001_reg004,4495,20295,9
UPMC_c001_v001_r001_reg004,5357,21158,9
UPMC_c001_v001_r001_reg004,75,15843,11
UPMC_c001_v001_r001_reg004,5234,21035,9
UPMC_c001_v001_r001_reg004,4020,19815,9
UPMC_c001_v001_r001_reg004,331,16101,9
UPMC_c001_v001_r001_reg004,4700,20500,9
UPMC_c001_v001_r001_reg004,3582,19376,9
UPMC_c001_v001_r001_reg004,1611,17395,9
UPMC_c001_v001_r001_reg004,3898,19693,9
UPMC_c001_v001_r001_reg004,783,16556,10
UPMC_c001_v001_r001_reg004,5504,21305,9
UPMC_c001_v001_r001_reg004,2474,18262,9
UPMC_c001_v001_r001_reg004,1731,17516,9
UPMC_c001_v001_r001_reg004,4747,20547,9
UPMC_c001_v001_r001_reg004,323,16093,9
UPMC_c001_v001_r001_reg004,5540,21341,9
UPMC_c001_v001_r001_reg004,995,16770,10
UPMC_c001_v001_r001_reg004,319,16089,10
UPMC_c001_v001_r001_reg004,5402,21203,9
UPMC_c001_v001_r001_reg004,975,16750,9
UPMC_c001_v001_r001_reg004,3994,19789,9
UPMC_c001_v001_r001_reg004,6344,22147,11
UPMC_c001_v001_r001_reg004,988,16763,10
UPMC_c001_v001_r001_reg004,1025,16802,9
UPMC_c001_v001_r001_reg004,1604,17388,10
UPMC_c001_v001_r001_reg004,434,16204,9
UPMC_c001_v001_r001_reg004,3032,18822,9
UPMC_c001_v001_r001_reg004,4504,20304,9
UPMC_c001_v001_r001_reg004,5645,21447,9
UPMC_c001_v001_r001_reg004,1142,16919,9
UPMC_c001_v001_r001_reg004,349,16119,11
UPMC_c001_v001_r001_reg004,2751,18540,9
UPMC_c001_v001_r001_reg004,5797,21600,9
