,cv,nonzero_ratio
A1BG,8.58272761288156,0.01821828161283513
A1BG-AS1,21.334374974575486,0.0028076841883048344
A1CF,5.0633262263594565,0.05110829639012033
A2M,2.170337907659652,0.3475406375343044
A2M-AS1,5.802660549790096,0.03305889803673211
A2ML1,28.07438652359645,0.0016043909647456196
A2ML1-AS1,32.963260315263724,0.0010344099641123074
A2ML1-AS2,153.89606882564365,4.222081486172683e-05
A2MP1,12.247600503829895,0.00766307789740342
A3GALT2,48.31975596552794,0.000506649778340722
A4GALT,3.5540543353540808,0.10464428963478996
A4GNT,40.56583769119944,0.0008233058898036732
AAAS,5.48189389299535,0.04306523115896137
AACS,7.4771809821085355,0.02434029976778552
AACSP1,26.06978656300834,0.0018577158539159805
AADAC,102.59467172644389,0.00010555203715431708
AADACL2-AS1,25.722416723901784,0.0018154950390542538
AADACL3,92.3341756881065,0.0001266624445851805
AADACL4,108.81865648862176,8.444162972345367e-05
AADACP1,125.65428763076814,6.333122229259025e-05
AADAT,21.80880725932275,0.0027232425585813807
AAGAB,6.710781760730617,0.028963478995144606
AAK1,4.822149827903055,0.05763141228625712
AAMDC,3.9458022382399056,0.08646822883681655
AAMP,4.022072383166869,0.08205615368376609
AANAT,50.43480367250621,0.0004222081486172683
AAR2,5.244980266615423,0.046949546126240235
AARD,17.927996029760628,0.004517627190204771
AARS,4.165403523478054,0.07825628034621068
AARS2,7.130416592778702,0.02600802195482373
AARSD1,4.553440109452279,0.06529449018366054
AASDH,9.922209695611095,0.01359510238547604
AASDHPPT,5.880150547172374,0.03791429174583069
AASS,10.814401845814583,0.011230736753219337
AATBC,63.77134100456801,0.0002955457040320878
AATF,71.33259313232249,0.00021110407430863416
AATK,20.07482571743096,0.003208781929491239
ABALON,23.117384029748898,0.002195482372809795
ABAT,9.978731336343794,0.012961790162550137
ABBA01045074.1,217.64420506871528,2.1110407430863417e-05
ABCA1,4.1068123819871785,0.07907958623601435
ABCA10,16.68871130423964,0.004433185560481318
ABCA11P,8.98941712234479,0.016043909647456195
ABCA12,22.14146436992591,0.0026810217437196536
ABCA13,47.4244135440654,0.000612201815495039
ABCA17P,17.546969378201652,0.004222081486172683
ABCA2,4.505725161320385,0.06337344310745198
ABCA3,4.137763797550626,0.08116951657166983
ABCA4,45.23109386086012,0.000612201815495039
ABCA5,6.243224818416186,0.03331222292590247
ABCA6,19.151593643738412,0.0037365421152628247
ABCA7,8.942351726135144,0.017099430018999367
ABCA8,27.245395292159014,0.0016888325944690733
ABCA9,30.85948514038871,0.0012877348532826683
ABCA9-AS1,49.16045639117236,0.00044331855604813175
ABCB1,6.011347751179001,0.036542115262824575
ABCB10,8.237710813906101,0.018556048131728942
ABCB11,64.10631665220573,0.00033776651889381467
ABCB4,14.884998718855075,0.00599535571036521
ABCB5,26.637379751019413,0.0015199493350221659
ABCB6,4.8134087063483095,0.057145872915347264
ABCB7,7.035762485958536,0.02571247625079164
ABCB8,8.223344729792927,0.019252691576947437
ABCB9,8.613623952946007,0.016022799240025334
ABCC1,16.790001985313257,0.004179860671310956
ABCC10,11.183902564643402,0.010344099641123074
ABCC11,25.929347195339865,0.001773274224192527
ABCC12,65.94926930946517,0.000253324889170361
ABCC13,66.48458467948528,0.000253324889170361
ABCC2,9.990459155824261,0.012877348532826684
ABCC3,3.71524031123668,0.09816339455351489
ABCC4,3.8729720485305377,0.09066919991555837
ABCC5,6.94414018757996,0.02750686088241503
ABCC5-AS1,63.44643409996801,0.0002955457040320878
ABCC6,30.1076612238217,0.0013510660755752587
ABCC6P1,10.105416018420367,0.012075153050453874
ABCC8,40.43234221392455,0.0008021954823728098
ABCC9,9.792626225587286,0.013215115051720499
ABCD1,7.283537798567474,0.023812539582013934
ABCD1P4,217.6442050687176,2.1110407430863417e-05
ABCD1P5,153.896068825657,4.222081486172683e-05
ABCD2,23.4327623919277,0.002448807261980156
ABCD3,3.778380260651757,0.091344732953346
ABCD4,6.344204189357944,0.033713320667088875
ABCE1,6.209862199481306,0.032847793962423474
ABCF2,5.70129135411803,0.04061642389698121
ABCF3,5.548801147425535,0.04517627190204771
ABCG1,4.363051489329025,0.0681443951868271
ABCG2,9.485645341481554,0.014186193793540216
ABCG4,65.61526984144628,0.00023221448173949756
ABCG5,45.344402219133016,0.000612201815495039
ABCG8,63.97424250197858,0.0002955457040320878
ABHD1,23.01423575005619,0.0025754697065653366
ABHD10,5.7887095519655745,0.03934979945112941
ABHD11,5.522647744108979,0.044120751530504536
ABHD11-AS1,21.621215970723984,0.0029132362254591514
ABHD12,3.5371856234353944,0.10690310322989234
ABHD12B,40.61565170852508,0.0006755330377876293
ABHD13,8.363319621117252,0.018323833649989445
ABHD14A,6.141057524287022,0.036373232003377665
ABHD14A-ACY1,4.028174680507686,0.08283723875870805
ABHD14B,3.227284329359976,0.1303567658855816
ABHD15,5.603304715657539,0.04179860671310956
ABHD15-AS1,5.835443017130233,0.03806206459784674
ABHD16B,31.190001003041534,0.001477728520160439
ABHD17A,4.392057515936111,0.06430230103440997
ABHD17AP1,58.159878168488966,0.0002955457040320878
ABHD17AP3,36.2103350668406,0.0007810850749419464
ABHD17AP4,43.51781244499994,0.0005277601857715853
ABHD17AP5,83.70422002317747,0.00021110407430863416
ABHD17AP6,47.90610501761527,0.000506649778340722
ABHD17B,7.650404805277468,0.02212370698754486
ABHD17C,12.997946691304387,0.007409753008233059
ABHD18,6.455755612857944,0.031982267257758074
ABHD2,4.158033760822545,0.07677855182605024
ABHD3,8.716856356609352,0.0175427485750475
ABHD4,6.78229543263734,0.0294279079586236
ABHD5,9.910953353363725,0.01304623179227359
ABHD6,5.47688859571589,0.044205193160227994
ABHD8,6.838646488804874,0.02583913869537682
ABI1,4.887264417777736,0.05357821405953135
ABI1P1,133.27696725235634,6.333122229259025e-05
ABI2,4.457569379472847,0.06575891914713954
ABI3,5.259139438135069,0.048068397720076
ABI3BP,14.708075559286913,0.005763141228625712
ABITRAM,7.142945396267999,0.024889170360987967
ABL1,4.234928950662112,0.0759974667511083
ABL2,5.683921067529051,0.0411441840827528
ABLIM1,3.015966124880157,0.14954612624023644
ABLIM2,18.976788852827905,0.0036309900781085077
ABLIM3,3.67900767071902,0.09611568503272114
ABO,31.328723065090493,0.0013299556681443951
ABR,18.981049759069123,0.0035676588558159173
ABRA,102.5946717264358,0.00010555203715431708
ABRACL,7.719893461692007,0.021659278024065864
ABRAXAS1,7.103615313369729,0.024952501583280558
ABRAXAS2,7.760935451694018,0.020688199282246147
ABT1,5.959966827493034,0.03747097318978256
ABTB1,5.170418641888832,0.04958834705509816
ABTB2,14.991882245603296,0.005530926746886215
AC000032.1,108.81865648864047,8.444162972345367e-05
AC000036.1,217.64420506871429,2.1110407430863417e-05
AC000061.1,115.16336222955927,8.444162972345367e-05
AC000065.1,39.45271862373271,0.0007388642600802195
AC000065.2,78.35531606451066,0.00021110407430863416
AC000067.1,103.11683486531416,0.00010555203715431708
AC000068.1,56.71839759082471,0.0004222081486172683
AC000068.2,31.888364156766727,0.0010766307789740342
AC000068.3,40.991982052479855,0.0006755330377876293
AC000072.1,217.64420506871465,2.1110407430863417e-05
AC000077.1,108.81865648863432,8.444162972345367e-05
AC000078.1,162.22104261371433,4.222081486172683e-05
AC000082.1,172.06176216692396,4.222081486172683e-05
AC000085.1,24.723025892051723,0.0021743719653789318
AC000089.1,45.37141409951899,0.00048553937090985855
AC000093.1,13.550005882626655,0.006776440785307156
AC000095.1,63.77134100456821,0.0002955457040320878
AC000095.3,6.022125951852868,0.032193371332066706
AC000099.1,69.05719248088705,0.000253324889170361
AC000113.1,93.27171192213684,0.0001266624445851805
AC000120.1,76.62450032195079,0.00018999366687777073
AC000120.2,35.1953227546049,0.001013299556681444
AC000120.3,8.025238557036502,0.020709309689677012
AC000123.1,217.6442050687056,2.1110407430863417e-05
AC000123.2,36.46995820180275,0.0009288579269579902
AC000123.3,26.256549251585028,0.001773274224192527
AC000124.1,153.89606882565153,4.222081486172683e-05
AC000372.1,58.15987816847905,0.0002955457040320878
AC000403.1,54.06546100859842,0.00035887692632467804
AC001226.1,72.97000275296234,0.00021110407430863416
AC001226.2,11.866295417274168,0.008380831750052777
AC002044.1,35.39277317749212,0.0008866371120962635
AC002044.2,57.987501203794686,0.00035887692632467804
AC002056.2,125.65428763077666,6.333122229259025e-05
AC002057.2,88.84818512495951,0.0001266624445851805
AC002059.1,138.71936598754974,6.333122229259025e-05
AC002059.2,153.8960688256458,4.222081486172683e-05
AC002059.3,50.216159967637395,0.0004644289634789951
AC002064.1,27.77513798580452,0.0016466117796073464
AC002064.2,115.16336222957322,8.444162972345367e-05
AC002066.1,24.88884285818804,0.0022588135951023855
AC002069.1,35.15513238962624,0.0009921891492505805
AC002070.1,9.471656741414074,0.01545281823939202
AC002072.1,30.625283119742043,0.0014988389275913025
AC002074.1,38.58059758582453,0.0008655267046654001
AC002074.2,87.18711253737955,0.0001477728520160439
AC002075.1,217.64420506871096,2.1110407430863417e-05
AC002075.2,16.58591839483196,0.0038209837449862784
AC002076.1,74.00785948327763,0.00023221448173949756
AC002076.2,125.65428763072018,8.444162972345367e-05
AC002091.1,29.516258635038906,0.0015199493350221659
AC002091.2,108.81865648862555,8.444162972345367e-05
AC002094.1,33.641855995651596,0.001266624445851805
AC002094.2,38.981002020455996,0.0007810850749419464
AC002094.3,108.81865648863979,8.444162972345367e-05
AC002094.4,81.10589785373917,0.00018999366687777073
AC002094.5,108.81865648864066,8.444162972345367e-05
AC002101.1,58.39212275638745,0.00037998733375554147
AC002116.1,11.160111150976894,0.010175216381676167
AC002116.2,15.640908851292574,0.00512982900569981
AC002128.1,108.81865648864043,8.444162972345367e-05
AC002128.2,88.84818512493172,0.0001266624445851805
AC002306.1,87.05285750617725,0.0001477728520160439
AC002310.1,14.065505659678895,0.006628667933291112
AC002310.2,13.654117579341536,0.006881992822461474
AC002310.3,105.40626870105568,0.00010555203715431708
AC002310.4,21.03496512634229,0.002955457040320878
AC002310.5,65.6152698414583,0.00023221448173949756
AC002331.1,102.59467172646879,0.00010555203715431708
AC002347.1,125.65428763075275,6.333122229259025e-05
AC002347.2,59.596560303443475,0.00033776651889381467
AC002350.1,26.614214364687193,0.0016466117796073464
AC002366.1,135.72275662782755,6.333122229259025e-05
AC002367.1,125.65428763074014,6.333122229259025e-05
AC002368.1,153.89606882565457,4.222081486172683e-05
AC002375.1,102.80644575730403,0.0001266624445851805
AC002377.1,27.074697712028758,0.0019421574836394342
AC002378.1,62.044270431541904,0.00033776651889381467
AC002383.1,53.84425764771351,0.0004010977411864049
AC002398.1,15.865793466383783,0.005172049820561537
AC002398.2,82.25656725846095,0.0001477728520160439
AC002400.1,179.47311776409884,4.222081486172683e-05
AC002401.1,28.360007052200476,0.0015832805573147563
AC002401.2,87.05285750616272,0.00016888325944690733
AC002401.3,45.32449577604917,0.000612201815495039
AC002401.4,48.083139261601104,0.000506649778340722
AC002407.1,115.16336222956913,8.444162972345367e-05
AC002428.1,217.64420506870377,2.1110407430863417e-05
AC002428.2,106.61988557494317,0.0001266624445851805
AC002429.2,17.902311201004807,0.0038209837449862784
AC002451.1,9.422466060126336,0.014671733164450074
AC002451.2,217.64420506871184,2.1110407430863417e-05
AC002454.1,46.46581539151027,0.0006333122229259025
AC002456.1,39.00368360286279,0.0007599746675110829
AC002460.2,19.259188964180613,0.00339877559636901
AC002463.1,12.62058367681221,0.007831961156850328
AC002465.1,125.65428763075337,6.333122229259025e-05
AC002465.2,108.81865648861772,8.444162972345367e-05
AC002467.1,18.559463132687636,0.0039054253747097317
AC002470.1,30.117010957770212,0.0014355077052987122
AC002470.2,14.542166222852826,0.006122018154950391
AC002472.1,88.84818512496376,0.00016888325944690733
AC002472.2,27.898145797575168,0.001625501372176483
AC002472.4,60.06048383705164,0.00037998733375554147
AC002480.1,125.65428763074132,8.444162972345367e-05
AC002480.2,81.10589785374336,0.00018999366687777073
AC002504.1,108.81865648862812,8.444162972345367e-05
AC002511.2,153.8960688256412,4.222081486172683e-05
AC002519.1,184.9612572046669,4.222081486172683e-05
AC002519.2,153.8960688258107,6.333122229259025e-05
AC002524.1,153.89606882565593,4.222081486172683e-05
AC002542.2,217.64420506871184,2.1110407430863417e-05
AC002543.1,38.8523564515417,0.0008233058898036732
AC002545.1,58.1598781684876,0.0002955457040320878
AC002546.1,51.290025021106786,0.0004222081486172683
AC002550.1,29.23705977116943,0.0012455140384209414
AC002550.2,40.45405042455833,0.0007810850749419464
AC002551.1,93.27171192220781,0.0001266624445851805
AC002553.1,45.54294177693169,0.000612201815495039
AC002553.2,36.03593314129957,0.0009288579269579902
AC002558.1,73.90077903361926,0.000253324889170361
AC002558.2,101.78991845950098,0.0001266624445851805
AC002558.3,47.70317697623005,0.0006755330377876293
AC002563.1,47.08959282123472,0.0005488705932024488
AC002984.1,125.65428763078724,6.333122229259025e-05
AC002985.1,9.554232573820128,0.012645134051087185
AC002996.1,18.923958620150547,0.003546548448385054
AC003002.1,30.58685454857396,0.001372176483006122
AC003002.2,10.784794820662402,0.011336288790373654
AC003002.3,21.54172682227302,0.002786573780873971
AC003005.1,13.615956239449847,0.006987544859615791
AC003005.2,71.27559941991325,0.000253324889170361
AC003006.1,16.63643245041981,0.004454295967912181
AC003035.1,102.59467172645347,0.00010555203715431708
AC003035.2,133.2769672523637,6.333122229259025e-05
AC003043.1,125.6542876307533,6.333122229259025e-05
AC003043.2,153.89606882564843,4.222081486172683e-05
AC003044.1,11.595720525454622,0.01032298923369221
