,cv,entropy,nonzero_ratio
CD83,4.042699,13.672597,0.058241967733497664
CD14,4.064397,13.658431,0.05766118842520139
GLIPR1,4.1098676,13.628299,0.056486329519105864
CEACAM6,4.2156925,13.563701,0.05396814137321056
SFRP4,4.2894545,13.518652,0.05246520865937515
TUBB2B,4.3468466,13.475362,0.05074503788365793
MMP2,4.379932,13.464297,0.05048346552343289
CTH,4.3899326,13.447331,0.049805150758781516
MNDA,4.420432,13.429158,0.049171170292473365
CDC42EP1,4.5385537,13.36102,0.04687908706812852
MYLK,4.5496106,13.354411,0.046710616734424254
ZEB1,4.587509,13.332977,0.04605446911894449
AKR1C1,4.5974536,13.3232155,0.04566876072335841
IGSF6,4.606339,13.319007,0.045571225267003315
CD86,4.642448,13.298888,0.04493281137086084
CPA3,4.7946434,13.220478,0.042871266497900774
KLF5,4.752731,13.22861,0.04277816447137999
HAVCR2,4.806405,13.199244,0.04196684681169893
SERPINB9,4.8579774,13.168882,0.04107129398516574
PECAM1,4.8784995,13.157287,0.0407698207564318
APOBEC3B,4.8908496,13.14992,0.04050381496637243
S100A4,4.896228,13.147358,0.0404772143873665
C2orf42,4.929186,13.128871,0.039914168798407514
LDHB,4.981278,13.101381,0.03920038659508155
CX3CR1,5.1070805,13.03523,0.03744474838068975
CCDC80,5.122125,13.028762,0.03734277949450033
DNAAF1,5.237769,12.9606495,0.03551177297292504
C15orf48,5.2440486,12.958894,0.03549847268342208
CD93,5.356323,12.90212,0.034150710013787965
RHOH,5.547685,12.802801,0.03184532649994015
ITGAM,5.560021,12.79709,0.03173449075408208
ITGAX,5.5956655,12.7810755,0.031415283806010844
BASP1,5.6182323,12.769701,0.031149278015951482
SLAMF1,5.7906613,12.678211,0.029207435748518126
IGF1,5.8064656,12.673037,0.029145367730837608
KLRC1,5.863152,12.644522,0.028533554413701073
CD3E,5.8739233,12.641051,0.02851582069436378
C1QC,6.0859427,12.544581,0.02664491330427959
CAV1,6.1148734,12.53201,0.02643654210206642
MKI67,6.149925,12.516695,0.026148369162835444
BLANK_0122,6.152346,12.511996,0.026015366267805762
SOX17,6.1689086,12.504058,0.025886796802610402
ITM2C,6.311371,12.444252,0.02485824108104753
PDGFRB,6.4064965,12.404869,0.02423756090424235
CD8A,6.4310336,12.392216,0.023989288833520275
TAC1,6.42627,12.384955,0.02383411878931898
VWF,6.537644,12.339102,0.023129203445661668
CD274,6.5278277,12.341032,0.023111469726324375
ADH1B,6.602774,12.311469,0.02267699360256075
ANKRD29,6.624528,12.3014555,0.02249965640918784
TCF7,6.6450596,12.292411,0.022357786654489512
GPR183,6.6905212,12.274272,0.022096214294264473
PGR,6.7073574,12.267695,0.022020845987080987
PTN,6.7385936,12.255334,0.021799174495364847
SLAMF7,6.853617,12.20453,0.02103662456386134
HOXD8,6.9247613,12.175677,0.020624315589269325
TCF4,6.993574,12.149475,0.020265207772689184
