,cv,entropy,nonzero_ratio
DMKN,2.4230406,12.41965,0.1471460241993643
BAMBI,2.449572,12.393689,0.14460856326290766
GLIPR1,2.5039146,12.341427,0.13964048185047678
MS4A6A,2.5167432,12.32806,0.13827826597932638
VTN,2.5160468,12.327885,0.13819813563396458
MYC,2.5180688,12.325312,0.13793103448275862
PPP1R1B,2.5462751,12.298701,0.13552712412190496
PPY,2.5748937,12.278333,0.13427174871123695
AIF1,2.56589,12.279506,0.13371083629370442
PECAM1,2.5685985,12.277165,0.13352386548786024
GDF15,2.574055,12.271543,0.13298966318544833
LSP1,2.6333144,12.214439,0.12780790085205268
PCNA,2.6343825,12.211743,0.12746066935548492
VCAN,2.6513057,12.197776,0.12639226475066107
HMGB2,2.6640978,12.183563,0.12503004887951066
SPIB,2.7307565,12.125489,0.12046261919388873
SPON2,2.7395692,12.113594,0.11912711343785892
FBN1,2.7481945,12.105868,0.1185394909052058
MALL,2.7803078,12.0754595,0.11602874008386976
EGFR,2.78317,12.072216,0.11568150858730201
VWA5A,2.8013334,12.055303,0.1143460028312722
CD93,2.8488262,12.013932,0.11122091936216245
MYLK,2.849549,12.013098,0.11111407890168007
TM4SF4,2.854982,12.008207,0.11079355752023291
GNG11,2.873043,11.990645,0.10935121130372072
CXCR4,2.9096181,11.962497,0.10750821336039958
CTSK,2.9302473,11.941329,0.10574534576244024
PMP22,2.9431903,11.929395,0.10483720184833997
GPRC5A,2.9512236,11.922788,0.10438312989128982
FXYD5,2.9661016,11.909256,0.10336814551670717
AQP8,2.967163,11.907266,0.1032078848259836
ALDH1A3,3.0109048,11.870073,0.10059029354416517
PTPRC,3.0219505,11.862977,0.10026977216271803
SLC26A2,3.0406756,11.843358,0.09872058548572345
SERPINB9,3.066597,11.822758,0.09735836961457305
C5orf46,3.0867546,11.806261,0.09634338523999038
CLIC6,3.0842764,11.807157,0.09628996500974919
MTRNR2L11,3.0971842,11.796987,0.09564892224685488
ADAMTS1,3.156285,11.748523,0.09260396912310692
PDGFRB,3.1680071,11.73849,0.09193621624509202
ADAM28,3.177788,11.729035,0.09121504313683591
ADH1C,3.2026403,11.70986,0.09006650818665028
TNC,3.253554,11.676095,0.08854403162477631
RND1,3.2593465,11.664513,0.08739549667459066
LTBP2,3.3034391,11.626426,0.08493816608349582
BASP1,3.3240519,11.611314,0.08413686262987793
COL5A2,3.3600788,11.584145,0.08261438606800395
ASPN,3.3631055,11.581248,0.08242741526215978
SFRP2,3.5138853,11.464566,0.0760169876332167
LIF,3.5368478,11.45085,0.07548278533080477
FAS,3.5309231,11.44955,0.07513555383423702
CD14,3.5383036,11.445129,0.07494858302839286
FCGR1A,3.5645814,11.424827,0.0739068885386896
THY1,3.6100593,11.392112,0.07227757151633324
TENT5C,3.6283908,11.376686,0.07142284783247416
TM4SF18,3.699507,11.32391,0.06885867678089692
DKK3,3.7503207,11.289108,0.06728277998878175
GEM,3.7526345,11.287769,0.06722935975854057
KCNK3,3.7685547,11.274049,0.06650818665028446
ACTA2,3.778879,11.268738,0.06634792595956089
FHL2,3.7838962,11.26499,0.06616095515371671
CD4,3.806274,11.247691,0.06533294158497824
MLPH,3.8117473,11.243518,0.06511926066401347
IGSF6,3.8292427,11.23338,0.06474531905232511
SERPINB2,3.8416712,11.227005,0.06455834824648095
MYOM1,3.8337245,11.2293,0.06453163813136034
FBLN1,3.8395863,11.225595,0.06439808755575736
AQP3,3.8491502,11.217296,0.06394401559870723
COCH,3.8795443,11.196511,0.06306258179972755
THBS2,3.9317236,11.160907,0.061566815352974175
CD34,3.948161,11.148717,0.06100590293544165
SEMA3C,3.9652486,11.138789,0.06063196132375331
CAPN8,4.0377107,11.087989,0.05849515211410561
FCGR3A,4.089393,11.054058,0.05715964635807581
SFRP4,4.126682,11.029196,0.056171372098613746
CD68,4.1465354,11.015599,0.05563716979620182
HLA-DQB2,4.1572146,11.008343,0.055343358529875264
RARRES2,4.1844563,10.98986,0.054595475306498574
IL1B,4.246944,10.953909,0.05342023024119234
FGL2,4.2714167,10.935134,0.05261892678757445
STC1,4.2730904,10.933316,0.05253879644221267
MNDA,4.2998137,10.919924,0.05216485483052432
MMRN2,4.2970953,10.917762,0.05195117390955955
HAMP,4.329278,10.8986,0.05133684126178584
HAVCR2,4.346437,10.886754,0.0508827693047357
SMIM24,4.351152,10.884135,0.05077592884425332
STC2,4.4018936,10.851744,0.04965410400918828
DPEP1,4.400372,10.851684,0.04962739389406769
TCF4,4.4175754,10.843907,0.049413712973102916
NPDC1,4.4375324,10.828402,0.0488260904404498
PLA2G7,4.4576693,10.81769,0.04850556905900264
STEAP4,4.4684625,10.810578,0.04826517802291728
CAV1,4.4728575,10.8076935,0.0481316274473143
ARFGEF3,4.474137,10.806564,0.0481049173321937
PDGFRA,4.543625,10.766268,0.046822831806405084
FHL1,4.575506,10.744503,0.046074948583028394
IRF8,4.5784,10.7431965,0.046048238467907794
CYP2A7,4.6243267,10.716052,0.04519351478404872
PDPN,4.6761312,10.685808,0.04425866075482785
PLCG2,4.698392,10.674804,0.043964849488501295
TREM2,4.7216897,10.659823,0.04348406741633056
RIDA,4.7477894,10.643032,0.04294986511391864
MPEG1,4.754011,10.641664,0.04294986511391864
CLEC4E,4.7991567,10.619297,0.042415662811506716
KIT,4.8592105,10.58096,0.04118699751595929
VSIG4,4.8718977,10.573019,0.04094660647987393
VWF,4.888538,10.563346,0.04065279521354737
KCNMA1,4.9470997,10.529445,0.039691231069205905
GCG,4.953388,10.527298,0.03966452095408531
PPP1R1A,5.0178194,10.489696,0.03862282646438206
GPR183,5.0238633,10.487808,0.03859611634926147
SLAMF7,5.0351853,10.482624,0.03848927588877908
GPC3,5.0346775,10.48202,0.03846256577365848
CD163,5.0667458,10.465126,0.03800849381660835
PTN,5.0939946,10.449568,0.037581131974678814
RGS16,5.13837,10.425212,0.0369667993269051
ADGRL4,5.2429423,10.367813,0.03549774299527231
MS4A4A,5.248054,10.3662815,0.035471032880151715
MEF2C,5.3017597,10.337299,0.03474985977189562
APOLD1,5.3072567,10.33419,0.034669729426533825
CAVIN2,5.315008,10.33057,0.03458959908117204
RTKN2,5.3387356,10.317935,0.034295787814845484
CYTIP,5.389407,10.292144,0.033708165282192365
TRAC,5.4021053,10.286176,0.03357461470658939
CD86,5.4172707,10.278084,0.033360933785624616
EMP3,5.513854,10.2276945,0.03221239883543898
INMT,5.5390625,10.215396,0.03194529768423302
PRDM1,5.548228,10.210692,0.03183845722375064
MAMDC2,5.573648,10.198179,0.03157135607254467
IL1R2,5.6047206,10.188186,0.03146451561206229
