CELL_ID,CLUSTER_LABEL
42574,Tumor (CD20+)
42576,CD4 T cell
42577,Tumor (CD15+)
42578,Granulocyte
42579,Macrophage
42580,Macrophage
42581,CD4 T cell
42582,Tumor (Podo+)
42583,Granulocyte
42584,Tumor (CD21+)
42585,CD4 T cell
42586,Tumor
42587,Tumor (CD21+)
42588,Stromal / Fibroblast
42589,CD8 T cell
42590,Stromal / Fibroblast
42591,Stromal / Fibroblast
42592,Tumor
42593,Macrophage
42594,Tumor (CD15+)
42595,Tumor (Ki67+)
42596,Stromal / Fibroblast
42597,CD4 T cell
42598,Granulocyte
42599,CD4 T cell
42600,CD4 T cell
42601,CD4 T cell
42602,CD4 T cell
42603,CD4 T cell
42604,CD8 T cell
42605,Stromal / Fibroblast
42606,Stromal / Fibroblast
42607,Lymph vessel
42608,Stromal / Fibroblast
42609,Tumor (CD20+)
42610,Macrophage
42611,CD4 T cell
42612,Stromal / Fibroblast
42613,Granulocyte
42614,CD4 T cell
42615,Macrophage
42616,Granulocyte
42617,Tumor (CD20+)
42618,Stromal / Fibroblast
42619,CD4 T cell
42620,Tumor (Ki67+)
42621,CD8 T cell
42622,Granulocyte
42623,Stromal / Fibroblast
42624,Stromal / Fibroblast
42625,Stromal / Fibroblast
42626,Tumor
42627,CD4 T cell
42628,Lymph vessel
42629,Lymph vessel
42630,Granulocyte
42631,CD4 T cell
42632,Tumor (Ki67+)
42633,Lymph vessel
42634,Stromal / Fibroblast
42635,CD8 T cell
42636,Naive immune cell
42637,Granulocyte
42638,Tumor (CD20+)
42639,Macrophage
42640,Stromal / Fibroblast
42641,Stromal / Fibroblast
42642,Granulocyte
42643,Lymph vessel
42644,Macrophage
42645,Stromal / Fibroblast
42646,Stromal / Fibroblast
42647,Vessel
42648,Granulocyte
42649,Tumor (CD20+)
42650,Stromal / Fibroblast
42651,Stromal / Fibroblast
42652,Stromal / Fibroblast
42653,Stromal / Fibroblast
42654,Macrophage
42655,Stromal / Fibroblast
42656,Granulocyte
42657,Macrophage
42658,Stromal / Fibroblast
42659,Lymph vessel
42661,Stromal / Fibroblast
42662,Macrophage
42663,Stromal / Fibroblast
42664,Macrophage
42665,Tumor (Podo+)
42666,Tumor (Ki67+)
42667,Vessel
42668,Tumor
42669,CD8 T cell
42670,Tumor (Podo+)
42671,Macrophage
42672,Tumor (CD21+)
42673,Stromal / Fibroblast
42674,Stromal / Fibroblast
42675,Granulocyte
42676,Tumor (CD21+)
42677,Granulocyte
42678,Macrophage
42679,Stromal / Fibroblast
42680,CD8 T cell
42681,Tumor (CD20+)
42682,Macrophage
42683,Stromal / Fibroblast
42685,CD4 T cell
42686,B cell
42687,Macrophage
42688,Lymph vessel
42689,Stromal / Fibroblast
42690,Macrophage
42691,Tumor (CD15+)
42692,Macrophage
42693,Granulocyte
42694,CD8 T cell
42695,Stromal / Fibroblast
42696,B cell
42697,Granulocyte
42698,Stromal / Fibroblast
42699,Vessel
42700,Tumor (CD21+)
42701,Stromal / Fibroblast
42702,CD4 T cell
42704,Macrophage
42705,Granulocyte
42706,Naive immune cell
42707,Tumor
42708,Tumor (CD21+)
42709,Lymph vessel
42710,Stromal / Fibroblast
42711,Stromal / Fibroblast
42712,Tumor (CD20+)
42713,Tumor (CD21+)
42714,Tumor
42715,Granulocyte
42716,CD8 T cell
42717,Stromal / Fibroblast
42718,Stromal / Fibroblast
42719,CD4 T cell
42720,Tumor (CD15+)
42721,CD8 T cell
42722,Stromal / Fibroblast
42723,Tumor
42724,CD8 T cell
