ACQUISITION_ID,CELL_ID,CD11b,CD14,CD15,CD163,CD20,CD21,CD31,CD34,CD3e,CD4,CD45,CD45RA,CD45RO,CD68,CD8,CollagenIV,HLA-DR,Ki67,PanCK,Podoplanin,Vimentin,aSMA
UPMC_c001_v001_r001_reg004,21026,4.87240698391634,6.28670864138051,3.08292237944437,6.08842609565555,2.3007161443386,3.49036484880844,3.38950490482821,3.74635547866285,3.19612660931763,3.33050147357494,5.94679402698901,3.09477578628529,6.98820398489696,2.60465875901035,5.01936787500807,3.67851943243993,9.10034119848045,3.46314864851999,6.72483395556805,5.95097335896173,3.91700293166554,3.7273464822472
UPMC_c001_v001_r001_reg004,21027,2.36779058039339,2.35725697145324,4.92289313319906,0.2431219285685,2.4857022976167,1.57300299363321,23.6958599781029,9.87716474098286,3.3839692303972,1.29002104487916,1.20128017322429,2.33745990165586,0.83221123440874,2.52119935972063,0.548531259652089,3.16541282578173,6.52693092297334,1.48462759799715,0.101426637947629,0.417077140457064,25.396536217513,3.27052382944225
UPMC_c001_v001_r001_reg004,21028,4.08297923194886,3.01746209670406,2.2424179584226,4.19723311083383,1.95536842850189,2.03960328347107,3.34005489184195,1.99506297442235,4.43844734798442,6.12780865013556,6.32097331623467,2.69651063754917,13.8306034406486,1.59764101263539,2.04366765908882,2.3118410488178,2.13728531239403,3.03453638201974,4.72665586541765,18.3791434507739,7.59856675564816,1.88613714450542
UPMC_c001_v001_r001_reg004,21029,4.87136753245291,4.8934996826982,3.54711009617607,3.91220143929726,4.36761657197434,4.44149638939754,3.82448337633045,3.54407519111163,4.25900016752332,3.45968101083871,3.88826999835694,4.26194831597599,4.37854762722518,3.83219602661976,4.75627385718722,3.71667095430429,4.43050148096893,10.2734947021015,4.28005254488058,6.02789822062929,5.30000108052907,3.7336137334208
UPMC_c001_v001_r001_reg004,21030,5.11117551987778,4.88660938814202,3.59225889715856,3.89914331829876,4.51379937072811,3.28261373752304,3.4786697701895,3.07278915718579,5.00389618927631,3.64178172626873,4.29352135018753,3.60787133242289,4.69433709068218,3.8874762696443,4.8133408921681,4.0395537942374,4.87884793483665,9.44782948192788,4.91265753018286,9.18344313118533,2.14365783933137,3.61472627854489
UPMC_c001_v001_r001_reg004,21031,4.2706677262479,3.25756551237462,2.7482120778122,8.88603396361224,2.35014961269731,3.07253852490907,5.01295036806458,3.35516213761247,3.95528871523203,2.31769122655576,3.03280133868917,4.30515432347585,3.47279511532779,2.59535901220904,1.9638480652435,2.81942903201574,2.94660799875455,3.77732838298019,12.300542843489,17.9261130657635,2.24033152619998,3.39342943073357
UPMC_c001_v001_r001_reg004,21032,6.74846019347599,3.19673176641438,3.57076120738218,4.70075427054307,4.05128021820614,4.22787478728842,3.7233490610912,4.01162047593002,5.34436560669172,2.79895685542754,2.64845066606993,4.8060682152539,4.81027876089918,2.92635470718804,3.95169657957546,3.40882986755835,4.14974219441561,4.27194499461498,5.06167953416916,14.8237695160741,2.60516228967338,4.1618682320573
UPMC_c001_v001_r001_reg004,21033,4.35085599941092,8.84263177286472,4.1401834987899,7.05552384386893,5.21458923028356,4.12097566930684,3.65308700325202,2.90220387443356,4.14535595405439,5.27929872143065,4.85964632239917,3.20175252657502,3.08324318858097,4.12019752641394,3.67726908166063,3.71733985443716,4.06600147653431,3.38454679254931,6.67691702907413,4.32235305827307,4.94928935191906,4.23673822388774
UPMC_c001_v001_r001_reg004,21034,5.43548375634309,3.13486243815667,4.1134046497062,5.58309805606057,2.86152596866087,3.53468129470206,3.5799089578096,2.83892787923692,3.90550374038343,3.13879793301267,2.47734174171594,3.6724626624606,4.93609419492138,2.97069582771617,3.8501598527966,3.37881054261531,2.99073441879393,3.88478767987184,6.09561817618331,19.9360108188534,4.18149655753467,3.49959285246477
UPMC_c001_v001_r001_reg004,21035,4.34633003825212,3.89687608486976,3.82407529941616,9.72191939159544,4.45388841796812,5.77116853780284,4.48562510060822,3.7834645111903,4.57747745482892,3.82400029009504,3.07874122977565,5.05415827505519,3.38571526348185,3.49306388052086,3.2578930229087,3.75185908176974,4.07648067792567,4.22217519474181,9.15373058288183,5.3861419895672,3.07896773849411,3.37624793625047
UPMC_c001_v001_r001_reg004,21036,4.94438697729884,5.04248640354871,3.695111668175,9.00683413920124,5.06891731407586,4.76497290377206,3.79185221136049,3.56493705514394,4.03759579902737,3.86892922586757,2.98656360599607,3.34058867513408,4.20229731571415,3.25344830111743,4.45450745877084,3.6415045739054,4.10495389893277,4.04879346134861,9.37185259345373,4.86396265079388,4.47650006476558,3.46900370259635
UPMC_c001_v001_r001_reg004,21037,5.64720314741367,3.0707220214176,4.45185360445117,6.31212170561069,2.70618594060386,3.71482951300002,3.65308494090204,2.95977603589542,4.00356936750851,3.23374032265961,2.97311056215264,3.77346700419481,3.23360677877471,3.55322944119163,3.73639201230786,3.76391993708284,3.30821542452929,2.99724193271491,6.44448728172731,18.8485991499563,3.98597598332932,3.62866789257584
UPMC_c001_v001_r001_reg004,21038,4.4866152933853,3.38963305035058,3.26504764026846,7.19752722961792,3.09749076821968,5.00475809496387,5.71911345574551,2.96237009725957,3.42275622187592,3.66735141813191,2.64206988724717,5.2109858617671,3.92413342449905,3.38685862246235,4.6890797116158,4.51081609884932,3.53334796429966,8.58671784921438,6.43819746441618,8.59122078652183,2.38329981447653,3.89060924481193
UPMC_c001_v001_r001_reg004,21039,7.4762396158715,3.29842073972805,3.22253160265413,4.19035752461822,7.45531804552899,4.5249928666958,3.22252244984294,3.95652249601095,5.34215270981238,3.05864352542774,2.91054273366099,4.15525500947039,5.94131108773928,3.0811322684174,5.41002374783485,4.02438014312613,3.67088425870924,8.0118054067419,4.68232772323401,6.62653666475685,2.51689049783743,3.22120888228083
UPMC_c001_v001_r001_reg004,21040,3.55238855554179,2.02033187729785,2.43906832597379,1.64031969746939,3.16680430945941,2.33765184832991,1.95452392098774,2.15450650648018,5.8297208265284,1.73573870474171,4.76140738175575,2.10838520459722,7.36068512493022,1.69584834983452,18.6131369198489,2.21014017217638,2.21505430730997,20.5655613565944,1.81442862031198,3.35572013044086,6.17412007069862,2.294457788691
