CELL_ID,CELL_TYPE
68111,Tumor (Ki67+)
68112,Tumor (Ki67+)
68113,Tumor (CD20+)
68114,Tumor (CD20+)
68115,CD8 T cell
68116,Tumor
68117,Tumor (CD21+)
68118,Tumor (CD20+)
68119,Stromal / Fibroblast
68120,Tumor
68121,Tumor (Ki67+)
68122,Tumor (CD21+)
68123,Stromal / Fibroblast
68124,Stromal / Fibroblast
68125,Macrophage
68126,Macrophage
68127,Tumor (CD20+)
68128,Tumor
68129,Stromal / Fibroblast
68130,CD4 T cell
68131,Vessel
68132,Tumor (CD21+)
68133,Vessel
68134,Stromal / Fibroblast
68135,Tumor
68136,Tumor (Podo+)
68137,Tumor (CD20+)
68138,CD4 T cell
68140,Tumor (CD21+)
68141,Tumor (Podo+)
68142,Tumor
68143,Vessel
68144,Tumor
68145,Vessel
68146,Tumor (CD20+)
68147,CD8 T cell
68148,Vessel
68149,Tumor
68150,Tumor (CD21+)
68151,Tumor (Ki67+)
68152,Tumor (Ki67+)
68153,B cell
68154,Granulocyte
68155,Macrophage
68156,Granulocyte
68157,Tumor (Ki67+)
68158,Tumor (CD20+)
68159,Tumor (CD15+)
68160,Tumor (CD20+)
68161,Tumor (CD21+)
68162,Vessel
68163,Stromal / Fibroblast
68164,Macrophage
68165,Vessel
68166,CD4 T cell
68167,Macrophage
68168,CD8 T cell
68169,CD4 T cell
68170,Tumor (CD20+)
68171,Stromal / Fibroblast
68172,Macrophage
68173,Macrophage
68174,Tumor (CD20+)
68175,Tumor (CD21+)
68176,Tumor (CD20+)
68177,Tumor (Ki67+)
68178,Stromal / Fibroblast
68179,Vessel
68180,Stromal / Fibroblast
68181,Granulocyte
68182,Tumor (CD21+)
68183,Tumor (Ki67+)
68184,Macrophage
68185,Macrophage
68186,CD4 T cell
68187,Macrophage
68188,Tumor (Podo+)
68189,Stromal / Fibroblast
68190,Stromal / Fibroblast
68191,Vessel
68192,CD8 T cell
68193,Macrophage
68194,Tumor
68195,CD8 T cell
68196,Lymph vessel
68197,Tumor (Ki67+)
68198,Macrophage
68199,CD4 T cell
68200,Tumor (CD21+)
68201,Tumor
68202,Stromal / Fibroblast
68203,Tumor (Podo+)
68204,Macrophage
68205,CD8 T cell
68206,Macrophage
68207,Macrophage
68208,Stromal / Fibroblast
68209,Tumor (CD20+)
68210,Tumor
68211,Stromal / Fibroblast
68212,Tumor (CD20+)
68213,Tumor (CD15+)
68214,Stromal / Fibroblast
68215,Stromal / Fibroblast
68216,CD8 T cell
68217,Stromal / Fibroblast
68218,Stromal / Fibroblast
68219,CD4 T cell
68220,Tumor (Podo+)
68221,Granulocyte
68222,Stromal / Fibroblast
68223,CD4 T cell
68224,Vessel
68225,Vessel
68226,Tumor (CD21+)
68227,Macrophage
68228,APC
68229,Granulocyte
68230,Tumor (Ki67+)
68231,Tumor (CD20+)
68232,Tumor (Ki67+)
68233,Stromal / Fibroblast
68234,Stromal / Fibroblast
68235,CD4 T cell
68236,CD4 T cell
68237,APC
68239,Tumor (CD15+)
68240,CD4 T cell
68241,Tumor
68242,Macrophage
68243,Tumor
68244,Granulocyte
68245,Vessel
68246,Tumor (CD15+)
68247,APC
68248,APC
68249,Tumor (CD20+)
68250,Stromal / Fibroblast
68251,Stromal / Fibroblast
68252,Tumor (Ki67+)
68253,Tumor (Ki67+)
68254,Tumor (Podo+)
68255,CD8 T cell
68256,Stromal / Fibroblast
68257,CD4 T cell
68258,Tumor (Podo+)
68259,Stromal / Fibroblast
68260,Macrophage
68261,Stromal / Fibroblast
68262,CD4 T cell
68263,Tumor (CD20+)
68264,CD4 T cell
68265,CD4 T cell
68266,Stromal / Fibroblast
68267,Macrophage
68268,Stromal / Fibroblast
68269,CD4 T cell
68270,CD4 T cell
68271,Tumor
68272,Tumor (CD20+)
68273,APC
68274,Granulocyte
68275,Stromal / Fibroblast
68276,Granulocyte
68277,APC
68278,Tumor (Ki67+)
68279,Stromal / Fibroblast
68280,Tumor (Ki67+)
68281,Tumor
68283,Macrophage
68284,Tumor
68285,Tumor (Ki67+)
68286,Tumor
68287,Macrophage
68288,Stromal / Fibroblast
68289,Tumor
68290,Tumor
68291,Stromal / Fibroblast
68292,Stromal / Fibroblast
68293,CD4 T cell
68294,CD4 T cell
68295,Tumor
68296,CD4 T cell
68297,APC
68298,Tumor (CD20+)
68299,Macrophage
68300,Stromal / Fibroblast
68301,Tumor (CD20+)
68302,CD8 T cell
68303,Macrophage
68304,CD4 T cell
68305,Stromal / Fibroblast
68306,Macrophage
68307,Stromal / Fibroblast
68308,Tumor (CD21+)
68309,Tumor (CD20+)
68310,CD8 T cell
68311,Tumor
68312,Tumor
68313,Stromal / Fibroblast
68314,Tumor
68315,Tumor (CD20+)
68316,Tumor (CD15+)
68317,Granulocyte
68318,Macrophage
68319,CD8 T cell
68320,Tumor (Ki67+)
68321,Stromal / Fibroblast
68322,Stromal / Fibroblast
68323,Tumor (CD21+)
68324,Tumor (Ki67+)
68325,Macrophage
68326,Tumor (CD15+)
68327,Tumor (Ki67+)
68328,Stromal / Fibroblast
68329,Stromal / Fibroblast
68330,Macrophage
68331,Tumor (Podo+)
68332,Tumor (Podo+)
68333,Stromal / Fibroblast
68334,CD4 T cell
68335,Tumor (Ki67+)
68336,Tumor
68337,Stromal / Fibroblast
68338,Naive immune cell
68339,Macrophage
68340,Macrophage
68341,Granulocyte
68342,Stromal / Fibroblast
68343,Stromal / Fibroblast
68344,Tumor
68345,Granulocyte
68346,Tumor (Ki67+)
68347,Tumor
68348,Tumor (CD20+)
68350,Tumor (Ki67+)
68351,CD8 T cell
68352,Stromal / Fibroblast
68353,Tumor (CD21+)
68354,Tumor (Podo+)
68355,CD4 T cell
68356,Tumor (Podo+)
68357,Macrophage
68358,Stromal / Fibroblast
68359,CD4 T cell
68360,Tumor (Ki67+)
68361,Tumor
68362,Tumor
68363,CD4 T cell
68364,CD8 T cell
68365,Tumor (Podo+)
68366,Tumor
68367,Naive immune cell
68368,Granulocyte
68369,APC
68370,Stromal / Fibroblast
68371,Macrophage
68372,Tumor (CD15+)
68373,Macrophage
68374,CD8 T cell
68375,CD4 T cell
68376,CD4 T cell
68377,Granulocyte
68378,Tumor (Ki67+)
68379,Tumor (CD20+)
68380,Tumor (Ki67+)
68381,Stromal / Fibroblast
68382,Stromal / Fibroblast
68383,Tumor (CD20+)
68384,Stromal / Fibroblast
68385,CD8 T cell
68386,APC
68387,Tumor
68388,Tumor
68389,CD4 T cell
68390,Macrophage
68391,Tumor (Podo+)
68392,Stromal / Fibroblast
68393,Tumor (CD21+)
68394,CD4 T cell
68395,APC
68396,Stromal / Fibroblast
68397,Tumor (Ki67+)
68398,Tumor (Ki67+)
68399,Tumor (Ki67+)
68400,Tumor (CD15+)
68401,Tumor
68402,Macrophage
68403,Stromal / Fibroblast
68404,Macrophage
68405,CD4 T cell
68406,Macrophage
68407,Tumor
68408,Macrophage
68409,Tumor (Ki67+)
68410,APC
68411,Tumor (CD20+)
68412,APC
68413,CD8 T cell
68414,Macrophage
68415,Macrophage
68416,CD4 T cell
68417,Macrophage
68418,CD4 T cell
68420,Tumor (CD20+)
68421,CD4 T cell
68422,Stromal / Fibroblast
68424,Stromal / Fibroblast
68425,Tumor
68426,CD8 T cell
68427,Tumor (CD20+)
68428,CD4 T cell
68429,Macrophage
68430,Tumor
68431,CD4 T cell
68432,Vessel
68433,Tumor (Ki67+)
68434,CD4 T cell
68435,Tumor
68436,Tumor (Ki67+)
68437,Tumor
68438,Tumor (CD21+)
68439,APC
68440,Tumor
68441,CD4 T cell
68442,Tumor (CD21+)
68443,APC
68444,Tumor (Ki67+)
68445,Stromal / Fibroblast
68446,Macrophage
68447,Granulocyte
68448,Vessel
68449,Tumor (Ki67+)
68450,Tumor (CD20+)
68451,Macrophage
68452,Tumor
68453,Tumor
68454,Vessel
68455,Tumor (CD20+)
68456,Macrophage
68457,Macrophage
68458,Tumor
68459,Tumor (Ki67+)
68460,CD4 T cell
68461,Stromal / Fibroblast
68462,Tumor
68463,Macrophage
68464,Vessel
68465,CD4 T cell
68466,Stromal / Fibroblast
68467,CD8 T cell
68468,Stromal / Fibroblast
68469,APC
68470,Tumor (CD20+)
68471,Stromal / Fibroblast
68472,Vessel
68473,Tumor (CD21+)
68474,Macrophage
68475,Tumor
68476,Granulocyte
68477,APC
68478,Macrophage
68479,Stromal / Fibroblast
68480,CD8 T cell
68481,CD4 T cell
68482,Tumor (CD21+)
68483,Macrophage
68484,Vessel
68485,Vessel
68486,Stromal / Fibroblast
68487,CD8 T cell
68488,Tumor (Ki67+)
68489,Tumor (Ki67+)
68490,Granulocyte
68491,CD4 T cell
68492,Tumor (CD20+)
68493,APC
68494,Macrophage
68495,Tumor (Ki67+)
68496,Stromal / Fibroblast
68497,CD4 T cell
68498,Tumor
68499,Vessel
68500,Tumor (Ki67+)
68501,Stromal / Fibroblast
68502,Tumor (CD20+)
68503,Stromal / Fibroblast
68504,Tumor
68505,Tumor (CD15+)
68506,Tumor
68507,Macrophage
68508,Tumor (Podo+)
68509,Tumor (CD20+)
68510,Naive immune cell
68511,Stromal / Fibroblast
68512,Granulocyte
68513,Tumor (Podo+)
68514,Vessel
68515,CD4 T cell
68516,Stromal / Fibroblast
68517,APC
68518,Vessel
68519,Tumor
68520,Tumor (CD21+)
68521,Stromal / Fibroblast
68522,Tumor (CD15+)
68523,CD4 T cell
68524,CD4 T cell
68525,Tumor (CD20+)
68526,Tumor (Podo+)
68527,CD4 T cell
68528,Macrophage
68529,Tumor (Ki67+)
68530,Tumor (CD20+)
68531,Tumor (CD20+)
68532,Tumor (Podo+)
68533,Tumor (Ki67+)
68534,Tumor (CD21+)
68535,Tumor (Podo+)
68536,Macrophage
68537,Vessel
68538,Tumor (Podo+)
68539,Stromal / Fibroblast
68540,Tumor (CD20+)
68541,Tumor
68542,Vessel
68543,Granulocyte
68544,Macrophage
68545,Macrophage
68546,Macrophage
68547,Tumor
68548,Granulocyte
68549,Stromal / Fibroblast
68550,Macrophage
68551,Macrophage
68552,Vessel
68553,Tumor (Ki67+)
68554,Granulocyte
68555,CD8 T cell
68557,Tumor
68558,Tumor
68559,Tumor (CD15+)
68560,Tumor
68561,Tumor (Podo+)
68562,Tumor (CD20+)
68563,APC
68564,Tumor (CD20+)
68565,Stromal / Fibroblast
68566,Stromal / Fibroblast
68567,Vessel
68568,Granulocyte
68569,Tumor
68570,Vessel
68571,Tumor (CD20+)
68572,Tumor (Ki67+)
68573,Tumor (CD20+)
68574,Tumor (CD20+)
68575,Stromal / Fibroblast
68576,Granulocyte
68577,Tumor
68578,Vessel
68579,Stromal / Fibroblast
68580,Tumor (Ki67+)
68581,Vessel
68582,Tumor (Ki67+)
68583,Tumor (CD21+)
68584,Macrophage
68585,Tumor (CD15+)
68586,Macrophage
68587,CD4 T cell
68588,Granulocyte
68589,Macrophage
68590,Tumor
68591,CD4 T cell
68592,Tumor (CD20+)
68593,Macrophage
68594,CD4 T cell
68595,Tumor (CD21+)
68596,Tumor (Podo+)
68597,Macrophage
68598,Stromal / Fibroblast
68599,Vessel
68600,Tumor (CD20+)
68602,Lymph vessel
68603,CD4 T cell
68604,CD4 T cell
68605,Stromal / Fibroblast
68606,Tumor
68607,Tumor (CD20+)
68608,Tumor (Ki67+)
68609,Tumor (CD20+)
68610,Tumor
68611,CD8 T cell
68612,Stromal / Fibroblast
68613,Tumor
68614,Tumor (CD21+)
68615,Macrophage
68616,Tumor (CD20+)
68617,Tumor
68618,Tumor (CD21+)
68619,CD4 T cell
68620,APC
68621,Tumor
68622,Tumor (Podo+)
68623,Vessel
68624,CD4 T cell
68625,Granulocyte
68626,Macrophage
68627,Tumor (Podo+)
68628,Stromal / Fibroblast
68629,Macrophage
68630,Tumor (CD20+)
68631,Tumor (CD20+)
68632,Stromal / Fibroblast
68633,Granulocyte
68634,Vessel
68635,Tumor (CD20+)
68636,Naive immune cell
68637,Macrophage
68638,Tumor (Ki67+)
68639,Macrophage
68640,Granulocyte
68641,Macrophage
68642,Granulocyte
68643,Stromal / Fibroblast
68644,Tumor (Ki67+)
68646,Tumor
68647,Tumor (Podo+)
68648,CD8 T cell
68649,Tumor (CD15+)
68650,Granulocyte
68651,Tumor (Ki67+)
68652,Macrophage
68653,Tumor (Podo+)
68654,Tumor (CD20+)
68655,Macrophage
68656,Tumor
68657,Tumor (CD20+)
68658,Granulocyte
68659,CD4 T cell
68660,CD4 T cell
68661,CD8 T cell
68662,Stromal / Fibroblast
68663,Tumor (CD15+)
68664,Naive immune cell
68665,Tumor (CD15+)
68666,CD8 T cell
68667,Granulocyte
68668,Macrophage
68669,Macrophage
68670,Granulocyte
68671,Tumor (Ki67+)
68672,APC
68673,CD4 T cell
68674,Macrophage
68675,Lymph vessel
68676,CD8 T cell
68677,Granulocyte
68678,Tumor
68679,Stromal / Fibroblast
68680,Tumor (CD21+)
68681,Stromal / Fibroblast
68682,Tumor (Ki67+)
68683,Macrophage
68684,Granulocyte
68685,CD4 T cell
68686,Granulocyte
68687,CD4 T cell
68688,Tumor
68689,Granulocyte
68690,CD8 T cell
68691,CD4 T cell
68692,Vessel
68693,Tumor (Ki67+)
68694,Macrophage
68695,Tumor
68696,CD4 T cell
68697,Tumor
68698,Tumor
68699,Tumor (Ki67+)
68700,Tumor (CD21+)
68701,Stromal / Fibroblast
68702,Granulocyte
68703,Tumor (Podo+)
68704,Tumor (Ki67+)
68705,Vessel
68706,CD4 T cell
68707,Granulocyte
68708,Granulocyte
68709,Tumor (CD21+)
68710,B cell
68711,Granulocyte
68712,Granulocyte
68713,Granulocyte
68714,Tumor (CD20+)
68715,Tumor (Ki67+)
68716,Tumor (Ki67+)
68717,Granulocyte
68718,CD4 T cell
68719,Tumor
68720,Vessel
68721,Naive immune cell
68722,Vessel
68723,Tumor
68724,Tumor (CD20+)
68725,Granulocyte
68726,CD8 T cell
68727,Vessel
68728,Tumor
68729,Granulocyte
68730,Tumor (Podo+)
68731,CD4 T cell
68732,Naive immune cell
68733,CD4 T cell
68734,Stromal / Fibroblast
68735,Stromal / Fibroblast
68736,Stromal / Fibroblast
68737,CD4 T cell
68738,Granulocyte
68739,Macrophage
68740,Macrophage
68741,Stromal / Fibroblast
68742,Tumor (CD15+)
68743,CD4 T cell
68744,Macrophage
68745,Lymph vessel
68746,Tumor
68747,Macrophage
68748,Macrophage
68749,Tumor (CD21+)
68750,CD4 T cell
68751,Macrophage
68752,Tumor
68753,CD4 T cell
68754,Granulocyte
68755,CD4 T cell
68756,Stromal / Fibroblast
68757,Stromal / Fibroblast
68758,Lymph vessel
68759,Tumor (Ki67+)
68760,Tumor (Ki67+)
68761,Stromal / Fibroblast
68762,Tumor (Podo+)
68763,Tumor
68764,Tumor
68765,Tumor (CD20+)
68766,Granulocyte
68767,Tumor (CD20+)
68768,Stromal / Fibroblast
68769,Macrophage
68770,Granulocyte
68771,Tumor (CD20+)
68772,Naive immune cell
68773,Tumor (Ki67+)
68774,CD8 T cell
68775,Vessel
68776,Tumor (Ki67+)
68777,Tumor (CD15+)
68778,Tumor (CD20+)
68779,Macrophage
68780,Granulocyte
68781,Macrophage
68782,Stromal / Fibroblast
68783,Tumor
68784,Tumor
68785,Tumor (CD20+)
68786,Tumor
68787,Stromal / Fibroblast
68788,Granulocyte
68789,CD4 T cell
68790,Macrophage
68791,Tumor (CD21+)
68792,CD4 T cell
68793,CD8 T cell
68794,CD4 T cell
68795,Tumor (CD15+)
68796,Macrophage
68797,CD4 T cell
68798,Macrophage
68799,Tumor (Ki67+)
68800,Macrophage
68801,Stromal / Fibroblast
68802,Macrophage
68803,Tumor
68804,Tumor (Podo+)
68805,Stromal / Fibroblast
68806,Stromal / Fibroblast
68807,CD4 T cell
68808,Macrophage
68809,Stromal / Fibroblast
68810,Granulocyte
68811,Tumor (CD20+)
68812,CD4 T cell
68813,Granulocyte
68814,CD8 T cell
68815,Tumor (Ki67+)
68816,Granulocyte
68817,Macrophage
68818,Lymph vessel
68819,Macrophage
68820,Granulocyte
68821,Tumor (CD21+)
68822,Vessel
68823,Granulocyte
68824,Tumor (Ki67+)
68825,CD4 T cell
68826,CD4 T cell
68827,Vessel
68828,Stromal / Fibroblast
68829,Granulocyte
68830,CD4 T cell
68831,CD8 T cell
68832,Stromal / Fibroblast
68833,Tumor (Podo+)
68834,Macrophage
68835,Macrophage
68836,CD4 T cell
68837,Tumor (Ki67+)
68838,Granulocyte
68839,Vessel
68840,Stromal / Fibroblast
68841,Tumor (CD21+)
68842,Tumor (CD20+)
68843,Tumor (CD21+)
68844,Granulocyte
68845,Lymph vessel
68846,Tumor
68847,Tumor (CD21+)
68848,APC
68849,Tumor (CD21+)
68850,Granulocyte
68851,Lymph vessel
68852,CD4 T cell
68853,Tumor (CD21+)
68854,Granulocyte
68855,Granulocyte
68856,Macrophage
68857,Stromal / Fibroblast
68858,Stromal / Fibroblast
68859,Vessel
68860,Macrophage
68861,Macrophage
68863,APC
68864,Tumor (CD20+)
68865,Tumor (Ki67+)
68866,Granulocyte
68867,Tumor (Podo+)
68868,Granulocyte
68869,Macrophage
68870,Vessel
68871,Tumor
68872,Tumor
68873,Tumor (CD20+)
68874,Tumor (CD15+)
68875,Stromal / Fibroblast
68876,Tumor
68877,CD4 T cell
68878,Granulocyte
68879,Vessel
68880,Tumor
68881,Tumor
68882,Stromal / Fibroblast
68884,CD4 T cell
68885,Stromal / Fibroblast
68886,Tumor (CD20+)
68887,Stromal / Fibroblast
68888,Granulocyte
68889,Granulocyte
68890,Granulocyte
68891,Granulocyte
68892,Stromal / Fibroblast
68893,Tumor (CD21+)
68894,CD4 T cell
68895,Vessel
68896,Tumor (Ki67+)
68897,Tumor (Podo+)
68898,Stromal / Fibroblast
68899,Stromal / Fibroblast
68900,Macrophage
68901,CD8 T cell
68902,Stromal / Fibroblast
68903,Granulocyte
68904,Stromal / Fibroblast
68905,Tumor
68906,Granulocyte
68907,CD8 T cell
68908,Stromal / Fibroblast
68909,Macrophage
68910,Stromal / Fibroblast
68911,Tumor (Ki67+)
68912,Stromal / Fibroblast
68913,Tumor (Podo+)
68914,Tumor (CD20+)
68915,CD4 T cell
68916,Granulocyte
68917,CD8 T cell
68918,Stromal / Fibroblast
68919,CD4 T cell
68920,CD4 T cell
68921,Vessel
68922,Stromal / Fibroblast
68923,Stromal / Fibroblast
68924,Tumor (CD15+)
68925,Macrophage
68926,Granulocyte
68927,CD4 T cell
68928,Lymph vessel
68929,Macrophage
68930,CD4 T cell
68931,Tumor (Podo+)
68932,Tumor (Podo+)
68933,Macrophage
68934,Vessel
68935,Tumor (Podo+)
68936,Granulocyte
68937,Tumor (Podo+)
68938,Tumor (CD20+)
68939,Macrophage
68940,Tumor (Podo+)
68941,Macrophage
68942,Tumor (CD20+)
68943,Tumor (Podo+)
68944,Vessel
68945,Tumor (Ki67+)
68946,Tumor
68947,Macrophage
68948,Tumor (Ki67+)
68949,Granulocyte
68950,Lymph vessel
68951,Stromal / Fibroblast
68952,Stromal / Fibroblast
68953,Stromal / Fibroblast
68954,Tumor (Podo+)
68955,Stromal / Fibroblast
68956,Stromal / Fibroblast
68957,Stromal / Fibroblast
68958,CD4 T cell
68959,Granulocyte
68960,Granulocyte
68961,Stromal / Fibroblast
68962,Macrophage
68963,Granulocyte
68964,Tumor (Podo+)
68965,Stromal / Fibroblast
68966,APC
68967,Macrophage
68968,CD4 T cell
68969,Stromal / Fibroblast
68970,Macrophage
68971,Stromal / Fibroblast
68972,CD8 T cell
68973,Tumor (Podo+)
68974,Stromal / Fibroblast
68975,Macrophage
68976,Macrophage
68977,CD4 T cell
68978,CD4 T cell
68979,Tumor
68980,Granulocyte
68981,Granulocyte
68982,Stromal / Fibroblast
68983,Tumor (CD20+)
68984,CD8 T cell
68985,Granulocyte
68986,Macrophage
68987,Stromal / Fibroblast
68988,Tumor (Ki67+)
68989,Stromal / Fibroblast
68990,CD8 T cell
68991,Vessel
68992,Vessel
68993,Macrophage
68994,Vessel
68995,CD4 T cell
68996,Stromal / Fibroblast
68997,Tumor (CD20+)
68998,Stromal / Fibroblast
68999,Tumor (Podo+)
69000,Macrophage
69001,CD4 T cell
69002,Stromal / Fibroblast
69003,Tumor (CD21+)
69004,Tumor (CD21+)
69005,Tumor (CD20+)
69006,Granulocyte
69007,Stromal / Fibroblast
69008,CD4 T cell
69009,Vessel
69010,Tumor (Podo+)
69011,Tumor (Ki67+)
69012,Tumor (Podo+)
69013,Granulocyte
69014,Tumor
69015,Macrophage
69016,Tumor (Podo+)
69017,Macrophage
69018,Tumor (Ki67+)
69019,Tumor
69020,CD4 T cell
69021,Tumor (CD21+)
69022,Tumor
69023,APC
69024,Tumor (Ki67+)
69025,Macrophage
69026,Tumor
69027,Tumor
69028,Macrophage
69029,Stromal / Fibroblast
69030,Vessel
69031,Granulocyte
69032,CD4 T cell
69033,Granulocyte
69034,CD4 T cell
69035,Granulocyte
69036,Tumor (Podo+)
69037,Granulocyte
69038,Vessel
69039,Tumor
69040,Naive immune cell
69041,Tumor (CD20+)
69042,Stromal / Fibroblast
69043,Tumor
69044,Granulocyte
69045,Tumor (Podo+)
69046,Stromal / Fibroblast
69047,Stromal / Fibroblast
69048,Tumor (Ki67+)
69049,Tumor (CD15+)
69050,Tumor (CD20+)
69051,Vessel
69052,Stromal / Fibroblast
69053,Vessel
69054,Tumor (CD20+)
69055,Granulocyte
69056,Tumor (CD15+)
69057,Tumor (CD20+)
69058,Macrophage
69059,CD4 T cell
69060,Stromal / Fibroblast
69061,Tumor (CD20+)
69062,Granulocyte
69063,Tumor (Podo+)
69064,Granulocyte
69065,Tumor (Podo+)
69066,Tumor
69067,Macrophage
69068,CD4 T cell
69069,Granulocyte
69070,Tumor (CD21+)
69071,CD4 T cell
69072,Granulocyte
69074,Macrophage
69075,CD4 T cell
69076,Tumor (CD20+)
69077,Granulocyte
69078,Tumor (Ki67+)
69079,Tumor (Ki67+)
69080,Tumor (CD20+)
69081,CD4 T cell
69082,Tumor
69083,Tumor
69084,Macrophage
69085,Macrophage
69086,Granulocyte
69087,Tumor (Podo+)
69088,Tumor
69089,Tumor (Ki67+)
69090,APC
69091,Tumor
69092,Granulocyte
69093,Tumor (CD15+)
69094,Tumor
69095,Vessel
69096,Tumor (Podo+)
69097,Granulocyte
69098,Tumor (CD21+)
69099,Stromal / Fibroblast
69100,Macrophage
69101,Stromal / Fibroblast
69102,Vessel
69103,Tumor (CD15+)
69104,Tumor (Ki67+)
69105,Lymph vessel
69106,Vessel
69107,Macrophage
69108,Naive immune cell
69109,Macrophage
69110,CD4 T cell
69111,Granulocyte
69112,Vessel
69113,CD4 T cell
69114,Stromal / Fibroblast
69115,Tumor (Ki67+)
69116,Granulocyte
69117,CD4 T cell
69118,Tumor (CD21+)
69119,CD8 T cell
69120,Tumor
69121,Stromal / Fibroblast
69122,Tumor
69123,Stromal / Fibroblast
69124,Vessel
69125,Granulocyte
69126,Granulocyte
69127,Granulocyte
69128,Tumor (Ki67+)
69129,Vessel
69130,Macrophage
69131,Tumor
69132,Tumor
69133,Tumor
69134,Vessel
69135,CD4 T cell
69136,Stromal / Fibroblast
69137,Granulocyte
69138,CD4 T cell
69139,Tumor (Podo+)
69140,CD8 T cell
69141,Tumor (Ki67+)
69142,Tumor (CD20+)
69143,Granulocyte
69144,APC
69145,Tumor (CD15+)
69146,Tumor
69147,Tumor (CD20+)
69148,Tumor
69149,CD4 T cell
69150,Macrophage
69151,Granulocyte
69152,Tumor (CD15+)
69153,Tumor
69154,Macrophage
69155,Tumor (Ki67+)
69156,Macrophage
69157,Stromal / Fibroblast
69158,Granulocyte
69159,CD4 T cell
69160,Naive immune cell
69161,Granulocyte
69162,Tumor (CD20+)
69163,Tumor
69164,Granulocyte
69165,Granulocyte
69166,CD8 T cell
69167,Stromal / Fibroblast
69168,Granulocyte
69169,Macrophage
69170,Stromal / Fibroblast
69171,Tumor (Podo+)
69172,Tumor
69173,CD4 T cell
69174,Stromal / Fibroblast
69175,Granulocyte
69176,Tumor (CD20+)
69177,CD4 T cell
69178,Macrophage
69179,CD4 T cell
69180,Stromal / Fibroblast
69181,CD4 T cell
69182,CD4 T cell
69183,APC
69184,Granulocyte
69185,Tumor (Podo+)
69186,CD4 T cell
69187,CD4 T cell
69188,Tumor (CD21+)
69189,Tumor (Podo+)
69190,Macrophage
69191,Naive immune cell
69192,Tumor (Ki67+)
69193,Tumor (CD20+)
69194,Tumor (CD20+)
69195,Tumor (Ki67+)
69196,CD4 T cell
69197,Stromal / Fibroblast
69198,Tumor
69199,Granulocyte
69200,Granulocyte
69201,CD4 T cell
69202,Tumor (Podo+)
69203,CD4 T cell
69204,Macrophage
69205,CD8 T cell
69206,Tumor
69207,APC
69208,Tumor (Podo+)
69209,Granulocyte
69210,CD4 T cell
69211,Macrophage
69212,Granulocyte
69213,Vessel
69214,CD4 T cell
69215,Tumor (Podo+)
69216,Tumor (CD20+)
69217,Stromal / Fibroblast
69218,Granulocyte
69219,Stromal / Fibroblast
69220,CD4 T cell
69221,Naive immune cell
69222,Granulocyte
69223,Macrophage
69224,Stromal / Fibroblast
69225,Tumor (CD20+)
69226,Granulocyte
69227,CD8 T cell
69228,Macrophage
69229,CD4 T cell
69230,CD8 T cell
69231,Tumor (Podo+)
69232,Stromal / Fibroblast
69233,Tumor (CD20+)
69234,Granulocyte
69235,Granulocyte
69236,CD4 T cell
69237,CD4 T cell
69238,Tumor (CD20+)
69239,Tumor (Ki67+)
69240,Granulocyte
69241,Stromal / Fibroblast
69242,Macrophage
69243,Tumor
69244,CD4 T cell
69245,Granulocyte
69246,Tumor (Podo+)
69247,Granulocyte
69248,Tumor
69249,CD4 T cell
69250,Tumor (CD15+)
69251,Stromal / Fibroblast
69252,Tumor (CD21+)
69253,Tumor (CD15+)
69254,Tumor
69255,Tumor
69256,Tumor (Ki67+)
69257,Tumor
69258,CD4 T cell
69259,Tumor
69260,Tumor (CD21+)
69261,APC
69262,APC
69263,Stromal / Fibroblast
69264,Stromal / Fibroblast
69265,Tumor (CD15+)
69266,CD4 T cell
69267,Vessel
69268,CD4 T cell
69269,Tumor (Ki67+)
69270,Granulocyte
69271,Tumor (CD20+)
69272,Tumor (Ki67+)
69273,Tumor (Podo+)
69274,Stromal / Fibroblast
69275,Tumor (Ki67+)
69276,CD4 T cell
69277,CD8 T cell
69279,Granulocyte
69280,Tumor
69281,Tumor (CD15+)
69282,Stromal / Fibroblast
69283,Stromal / Fibroblast
69284,Stromal / Fibroblast
69285,Stromal / Fibroblast
69286,Tumor (CD21+)
69287,Tumor
69288,Macrophage
69289,Naive immune cell
69290,Tumor (Podo+)
69291,CD4 T cell
69292,CD8 T cell
69293,Granulocyte
69294,Granulocyte
69295,Granulocyte
69296,Vessel
69297,Tumor (CD20+)
69298,Tumor (CD20+)
69299,Macrophage
69300,Macrophage
69301,Stromal / Fibroblast
69302,Vessel
69303,CD4 T cell
69304,Tumor (CD20+)
69305,CD4 T cell
69306,CD4 T cell
69307,Tumor (CD20+)
69308,Naive immune cell
69309,Tumor
69310,CD4 T cell
69311,Tumor (CD20+)
69312,APC
69313,Granulocyte
69314,Tumor (CD20+)
69315,Granulocyte
69316,Granulocyte
69317,Granulocyte
69318,Macrophage
69319,Granulocyte
69320,Lymph vessel
69321,Macrophage
69322,Tumor
69323,Tumor
69324,Macrophage
69325,Naive immune cell
69326,Tumor (Ki67+)
69327,Granulocyte
69328,Tumor (Podo+)
69329,Tumor (Podo+)
69330,Tumor (CD20+)
69331,Macrophage
69332,Tumor
69333,Stromal / Fibroblast
69334,Tumor (Podo+)
69335,Tumor (CD20+)
69336,APC
69337,Tumor (Podo+)
69338,CD4 T cell
69339,Tumor (Podo+)
69340,CD8 T cell
