CELL_ID,CELL_TYPE
67148,CD4 T cell
67149,Tumor (CD20+)
67150,Tumor (CD15+)
67151,Tumor (CD15+)
67152,Tumor (Podo+)
67153,CD8 T cell
67154,Granulocyte
67155,Tumor (CD15+)
67156,Tumor (Podo+)
67157,Tumor (Podo+)
67158,Tumor (Ki67+)
67159,Macrophage
67160,Tumor (Ki67+)
67161,Vessel
67162,Tumor (CD15+)
67163,Macrophage
67164,Macrophage
67165,Macrophage
67166,CD4 T cell
67167,Naive immune cell
67168,Vessel
67169,Lymph vessel
67170,Tumor (Podo+)
67171,Tumor (CD15+)
67172,Tumor (CD20+)
67173,Macrophage
67174,Tumor (CD20+)
67175,Tumor (Podo+)
67176,Stromal / Fibroblast
67177,Macrophage
67178,Macrophage
67179,Tumor (CD21+)
67180,Tumor (CD15+)
67181,Vessel
67182,Granulocyte
67183,Lymph vessel
67184,Naive immune cell
67185,Granulocyte
67186,Tumor
67187,Macrophage
67188,Tumor (Ki67+)
67189,CD8 T cell
67190,Granulocyte
67191,Stromal / Fibroblast
67192,Granulocyte
67194,Macrophage
67195,Naive immune cell
67196,Granulocyte
67197,Tumor (Ki67+)
67198,Macrophage
67199,Tumor
67200,Naive immune cell
67201,Lymph vessel
67202,Tumor (Podo+)
67203,Tumor (Ki67+)
67204,Tumor (Ki67+)
67205,Tumor
67206,Macrophage
67207,Stromal / Fibroblast
67208,Granulocyte
67209,Granulocyte
67210,Granulocyte
67211,Granulocyte
67212,Vessel
67213,Naive immune cell
67214,Granulocyte
67215,Lymph vessel
67216,Vessel
67217,Vessel
67218,Stromal / Fibroblast
67219,Granulocyte
67220,Tumor (Ki67+)
67221,Stromal / Fibroblast
67222,B cell
67223,Tumor (CD20+)
67224,Tumor (Podo+)
67225,Naive immune cell
67226,Stromal / Fibroblast
67227,Macrophage
67228,Tumor (Ki67+)
67229,Macrophage
67230,Vessel
67231,Tumor (CD15+)
67232,Stromal / Fibroblast
67234,CD4 T cell
67235,Naive immune cell
67236,Granulocyte
67237,Tumor (CD20+)
67238,Tumor
67239,CD8 T cell
67240,CD4 T cell
67241,Vessel
67242,Tumor (CD21+)
67243,Stromal / Fibroblast
67244,Granulocyte
67245,Macrophage
67246,Macrophage
67247,Granulocyte
67248,Tumor (Podo+)
67249,CD8 T cell
67250,Macrophage
67251,Macrophage
67252,Granulocyte
67253,Tumor (Ki67+)
67254,Macrophage
67255,CD4 T cell
67256,Tumor (CD15+)
67257,CD4 T cell
67258,Tumor (CD15+)
67259,Macrophage
67260,Macrophage
67261,Macrophage
67262,Macrophage
67263,Macrophage
67264,Macrophage
67265,Tumor (CD15+)
67266,Tumor (CD21+)
67267,Macrophage
67268,Stromal / Fibroblast
67269,Tumor (Podo+)
67270,Granulocyte
67271,Tumor (Ki67+)
67272,Granulocyte
67273,Naive immune cell
67274,CD8 T cell
67275,Vessel
67276,Tumor
67277,Granulocyte
67278,Tumor (CD20+)
67279,Granulocyte
67280,Macrophage
67281,Granulocyte
67282,Tumor (Podo+)
67283,Macrophage
67284,Granulocyte
67285,CD4 T cell
67286,Vessel
67287,Tumor (Podo+)
67288,CD4 T cell
67289,Stromal / Fibroblast
67290,APC
67291,CD4 T cell
67292,Granulocyte
67293,APC
67294,Tumor (Ki67+)
67295,Tumor (CD21+)
67296,Tumor (Ki67+)
67297,Naive immune cell
67298,Naive immune cell
67299,Macrophage
67300,Macrophage
67301,Macrophage
67302,Tumor (CD20+)
67303,Tumor (CD21+)
67304,Macrophage
67305,Tumor (CD15+)
67306,Granulocyte
67307,Tumor (Ki67+)
67308,Macrophage
67309,Granulocyte
67310,Granulocyte
67311,Vessel
67312,Lymph vessel
67313,Vessel
67314,Vessel
67315,Tumor (Ki67+)
67316,APC
67317,Stromal / Fibroblast
67318,Macrophage
67319,B cell
67320,CD4 T cell
67321,B cell
67322,CD4 T cell
67323,Granulocyte
67324,Macrophage
67325,CD4 T cell
67326,Granulocyte
67327,Granulocyte
67328,Tumor (Ki67+)
67329,Macrophage
67330,CD4 T cell
67331,Stromal / Fibroblast
67332,Stromal / Fibroblast
67333,CD4 T cell
67334,Macrophage
67335,Granulocyte
67336,Granulocyte
67337,Granulocyte
67338,Macrophage
67339,Macrophage
67340,Macrophage
67341,Tumor (CD15+)
67342,CD4 T cell
67343,Tumor
67344,CD4 T cell
67345,APC
67346,Naive immune cell
67347,Lymph vessel
67348,Vessel
67349,Tumor (CD21+)
67350,Tumor (Ki67+)
67351,Tumor (Podo+)
67352,Macrophage
67353,Macrophage
67354,CD4 T cell
67355,Granulocyte
67356,Macrophage
67357,Macrophage
67358,Tumor (CD15+)
67359,Tumor (CD21+)
67360,Vessel
67361,Stromal / Fibroblast
67362,Granulocyte
67363,Tumor (Podo+)
67364,Granulocyte
67365,Granulocyte
67366,CD4 T cell
67367,Tumor
67368,CD4 T cell
67369,Naive immune cell
67370,Macrophage
67372,CD4 T cell
67373,Stromal / Fibroblast
67374,Granulocyte
67375,CD8 T cell
67376,Naive immune cell
67377,Stromal / Fibroblast
67378,Stromal / Fibroblast
67379,Vessel
67380,CD4 T cell
67381,Macrophage
67382,Vessel
67383,Stromal / Fibroblast
67384,Granulocyte
67385,Tumor (CD20+)
67386,Tumor (CD21+)
67387,Naive immune cell
67388,CD4 T cell
67389,Tumor
67390,Vessel
67391,CD4 T cell
67392,CD4 T cell
67393,Tumor (Podo+)
67394,B cell
67395,Macrophage
67396,Stromal / Fibroblast
67397,Tumor (CD21+)
67398,Tumor (CD15+)
67399,CD4 T cell
67400,Granulocyte
67401,Vessel
67402,Tumor (CD15+)
67403,Tumor (CD21+)
67404,Macrophage
67405,Granulocyte
67406,Granulocyte
67407,Macrophage
67408,Vessel
67409,Granulocyte
67410,Lymph vessel
67411,Vessel
67412,Tumor (Podo+)
67413,Macrophage
67414,Tumor (CD20+)
67415,Tumor (CD20+)
67416,Macrophage
67417,Stromal / Fibroblast
67418,Macrophage
67419,APC
67420,Macrophage
67421,Naive immune cell
67422,Macrophage
67423,Macrophage
67424,B cell
67425,CD8 T cell
67426,Macrophage
67427,CD4 T cell
67428,Macrophage
67429,Tumor (Ki67+)
67430,Naive immune cell
67431,Stromal / Fibroblast
67433,Tumor (Ki67+)
67434,Macrophage
67435,APC
67436,Granulocyte
67437,Tumor (CD21+)
67438,CD8 T cell
67439,CD8 T cell
67440,Granulocyte
67441,Macrophage
67442,Vessel
67443,Granulocyte
67444,Tumor (CD21+)
67445,Vessel
