CELL_ID,CLUSTER_LABEL
283,Tumor (CD21+)
284,Tumor
285,Tumor (CD20+)
286,Macrophage
287,Stromal / Fibroblast
288,B cell
289,Tumor (CD21+)
290,Stromal / Fibroblast
291,Tumor
292,Tumor (CD21+)
293,Macrophage
294,B cell
295,Macrophage
296,Stromal / Fibroblast
297,Macrophage
298,Tumor (CD20+)
299,Stromal / Fibroblast
300,Tumor (CD21+)
301,Tumor (CD21+)
302,Tumor
303,CD4 T cell
304,CD4 T cell
305,Tumor (Ki67+)
306,Tumor (CD20+)
307,Granulocyte
308,Tumor (CD21+)
309,Tumor (CD20+)
310,Tumor
311,Tumor (Ki67+)
312,CD4 T cell
313,Tumor (Ki67+)
314,Stromal / Fibroblast
316,Tumor (Podo+)
317,Tumor
318,Tumor (Podo+)
319,Vessel
320,Tumor (CD21+)
321,Macrophage
322,Stromal / Fibroblast
323,CD4 T cell
324,Stromal / Fibroblast
325,Stromal / Fibroblast
326,Tumor (CD21+)
327,Lymph vessel
328,Tumor (Ki67+)
329,Stromal / Fibroblast
330,Tumor (Ki67+)
331,Tumor (CD20+)
332,Tumor (CD21+)
333,Stromal / Fibroblast
334,B cell
335,APC
336,Tumor (CD20+)
337,Stromal / Fibroblast
338,Stromal / Fibroblast
339,Tumor (Ki67+)
340,Stromal / Fibroblast
341,Tumor (CD21+)
342,Tumor (Ki67+)
343,Tumor (Podo+)
344,Tumor
345,Tumor
346,Macrophage
347,CD8 T cell
349,Tumor (CD21+)
350,Macrophage
351,Stromal / Fibroblast
352,Tumor (CD21+)
353,Tumor (CD21+)
354,Stromal / Fibroblast
355,Tumor
356,Tumor (CD21+)
357,Tumor
358,Stromal / Fibroblast
359,Tumor (CD21+)
360,Tumor (CD21+)
361,Tumor
362,Naive immune cell
363,CD4 T cell
364,Tumor (CD21+)
365,Stromal / Fibroblast
366,Vessel
367,Tumor
368,Tumor (Ki67+)
369,Stromal / Fibroblast
370,B cell
371,Naive immune cell
373,Tumor (Ki67+)
374,Tumor (CD21+)
375,Tumor (CD21+)
376,Stromal / Fibroblast
377,Stromal / Fibroblast
378,Tumor (Ki67+)
379,CD4 T cell
380,Macrophage
381,Tumor (Ki67+)
382,Tumor
383,Tumor (CD21+)
384,Tumor (CD20+)
385,Tumor
386,Vessel
387,Tumor (CD21+)
388,Tumor
390,B cell
391,Vessel
392,Tumor (CD21+)
393,Tumor (CD21+)
394,CD4 T cell
395,Stromal / Fibroblast
396,Macrophage
