region_id,cell_id,cluster
UPMC_c001_v001_r001_reg001,2440,0
UPMC_c001_v001_r001_reg001,3312,1
UPMC_c001_v001_r001_reg001,728,1
UPMC_c001_v001_r001_reg001,2287,1
UPMC_c001_v001_r001_reg001,367,1
UPMC_c001_v001_r001_reg001,310,1
UPMC_c001_v001_r001_reg001,1517,0
UPMC_c001_v001_r001_reg001,768,1
UPMC_c001_v001_r001_reg001,3287,1
UPMC_c001_v001_r001_reg001,3327,1
UPMC_c001_v001_r001_reg001,1059,1
UPMC_c001_v001_r001_reg001,1411,1
UPMC_c001_v001_r001_reg001,3925,1
UPMC_c001_v001_r001_reg001,382,1
UPMC_c001_v001_r001_reg001,2166,1
UPMC_c001_v001_r001_reg001,3039,1
UPMC_c001_v001_r001_reg001,1725,1
UPMC_c001_v001_r001_reg001,157,1
UPMC_c001_v001_r001_reg001,1190,0
UPMC_c001_v001_r001_reg001,559,1
UPMC_c001_v001_r001_reg001,317,1
UPMC_c001_v001_r001_reg001,3870,1
UPMC_c001_v001_r001_reg001,2981,1
UPMC_c001_v001_r001_reg001,98,1
UPMC_c001_v001_r001_reg001,3226,0
UPMC_c001_v001_r001_reg001,3191,1
UPMC_c001_v001_r001_reg001,733,1
UPMC_c001_v001_r001_reg001,1143,1
UPMC_c001_v001_r001_reg001,2768,1
UPMC_c001_v001_r001_reg001,2377,1
UPMC_c001_v001_r001_reg001,420,1
UPMC_c001_v001_r001_reg001,2610,1
UPMC_c001_v001_r001_reg001,1643,1
UPMC_c001_v001_r001_reg001,385,1
UPMC_c001_v001_r001_reg001,203,1
UPMC_c001_v001_r001_reg001,3655,1
UPMC_c001_v001_r001_reg001,1142,0
UPMC_c001_v001_r001_reg001,536,1
UPMC_c001_v001_r001_reg001,1447,1
UPMC_c001_v001_r001_reg001,3843,1
UPMC_c001_v001_r001_reg001,1210,0
UPMC_c001_v001_r001_reg001,1175,1
UPMC_c001_v001_r001_reg001,1604,1
UPMC_c001_v001_r001_reg001,1573,1
UPMC_c001_v001_r001_reg001,1371,1
UPMC_c001_v001_r001_reg001,3021,1
UPMC_c001_v001_r001_reg001,3109,1
UPMC_c001_v001_r001_reg001,2723,1
